field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WOF-026,es;en,wind shear alpha,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_shear_alpha,,wind_shear_alpha;Wind shear profile,not applicable;assumed;estimated,value in valid range,value between 0.0 and 0.5,false,false,false,review if outlier
WOF-027,es;en,air density kgm3,,kg/m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,air_density_kgm3,regex:([0-9]+\.?[0-9]*)\s*kg/m3,air_density_kgm3;Air density table,not applicable;assumed;estimated,value in valid range,value between 1.0 and 1.4,false,false,false,review if outlier
WOF-030,es;en,seabed geotech type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,seabed_geotech_type,,seabed_geotech_type;CPT/MBT log,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-031,es;en,friction angle deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,friction_angle_deg,regex:([0-9]+\.?[0-9]*)\s*deg,friction_angle_deg;CPT/TC log,not applicable;assumed;estimated,value in valid range,value between 0 and 50,false,false,false,review if outlier
WOF-032,es;en,cohesion kpa,,kPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cohesion_kpa,regex:([0-9]+\.?[0-9]*)\s*kPa,cohesion_kpa;UCCT/CPT,not applicable;assumed;estimated,value in valid range,value between 0 and 500,false,false,false,review if outlier
WOF-033,es;en,submerged unit weight knm3,,kN/m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,submerged_unit_weight_knm3,regex:([0-9]+\.?[0-9]*)\s*kN/m3,submerged_unit_weight_knm3;Lab density test,not applicable;assumed;estimated,value in valid range,value between 4 and 12,false,false,false,review if outlier
WOF-034,es;en,liquefaction susceptibility,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,liquefaction_susceptibility,,liquefaction_susceptibility;Seismic hazard study,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-035,es;en,py curve modulus kn m3,,kN/m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,py_curve_modulus_kn_m3,regex:([0-9]+\.?[0-9]*)\s*kN/m3,py_curve_modulus_kn_m3;API p-y formulation,not applicable;assumed;estimated,value in valid range,value between 1000 and 200000,false,false,false,review if outlier
WOF-040,es;en,turbine rated power kw,,kW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbine_rated_power_kw,regex:([0-9]+\.?[0-9]*)\s*kW,turbine_rated_power_kw;Power curve,not applicable;assumed;estimated,value in valid range,value between 1000 and 30000,false,false,false,review if outlier
WOF-041,es;en,rotor diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,rotor_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,rotor_diameter_m;Blade geometry,not applicable;assumed;estimated,value in valid range,value between 40 and 300,false,false,false,review if outlier
WOF-042,es;en,hub height msl m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,hub_height_msl_m,regex:([0-9]+\.?[0-9]*)\s*m,hub_height_msl_m;Tower drawing,not applicable;assumed;estimated,value in valid range,value between 60 and 200,false,false,false,review if outlier
WOF-043,es;en,nacelle mass kg,,kg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,nacelle_mass_kg,regex:([0-9]+\.?[0-9]*)\s*kg,nacelle_mass_kg;Mass table,not applicable;assumed;estimated,value in valid range,value between 50000 and 1500000,false,false,false,review if outlier
WOF-044,es;en,rotor mass kg,,kg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,rotor_mass_kg,regex:([0-9]+\.?[0-9]*)\s*kg,rotor_mass_kg;Mass table,not applicable;assumed;estimated,value in valid range,value between 20000 and 400000,false,false,false,review if outlier
WOF-045,es;en,tower mass kg,,kg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tower_mass_kg,regex:([0-9]+\.?[0-9]*)\s*kg,tower_mass_kg;Mass table,not applicable;assumed;estimated,value in valid range,value between 100000 and 2000000,false,false,false,review if outlier
WOF-046,es;en,cut in wind ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cut_in_wind_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,cut_in_wind_ms;Power curve,not applicable;assumed;estimated,value in valid range,value between 0 and 6,false,false,false,review if outlier
WOF-050,es;en,foundation type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,foundation_type,,foundation_type;Design basis,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-051,es;en,monopile diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,monopile_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,monopile_diameter_m;,not applicable;assumed;estimated,value in valid range,value between 1 and 12,false,false,false,review if outlier
WOF-052,es;en,monopile penetration m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,monopile_penetration_m,regex:([0-9]+\.?[0-9]*)\s*m,monopile_penetration_m;Pile driving record,not applicable;assumed;estimated,value in valid range,value between 5 and 80,false,false,false,review if outlier
WOF-053,es;en,monopile wall thickness mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,monopile_wall_thickness_mm,regex:([0-9]+\.?[0-9]*)\s*mm,monopile_wall_thickness_mm;,not applicable;assumed;estimated,value in valid range,value between 20 and 120,false,false,false,review if outlier
WOF-054,es;en,transition piece diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,transition_piece_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,transition_piece_diameter_m;,not applicable;assumed;estimated,value in valid range,value between 1 and 8,false,false,false,review if outlier
WOF-055,es;en,grouted connection length m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grouted_connection_length_m,regex:([0-9]+\.?[0-9]*)\s*m,grouted_connection_length_m;,not applicable;assumed;estimated,value in valid range,value between 1 and 10,false,false,false,review if outlier
WOF-056,es;en,grouted connection strength mpa,,MPa,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grouted_connection_strength_mpa,regex:([0-9]+\.?[0-9]*)\s*MPa,grouted_connection_strength_mpa;,not applicable;assumed;estimated,value in valid range,value between 50 and 150,false,false,false,review if outlier
WOF-057,es;en,jacket leg count,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,jacket_leg_count,,jacket_leg_count;,not applicable;assumed;estimated,value in valid range,value between 3 and 4,false,false,false,review if outlier
WOF-058,es;en,jacket leg diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,jacket_leg_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,jacket_leg_diameter_m;,not applicable;assumed;estimated,value in valid range,value between 0.5 and 3,false,false,false,review if outlier
WOF-059,es;en,jacket bracing diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,jacket_bracing_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,jacket_bracing_diameter_m;,not applicable;assumed;estimated,value in valid range,value between 0.2 and 1.5,false,false,false,review if outlier
WOF-060,es;en,tripod central shaft dia m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tripod_central_shaft_dia_m,regex:([0-9]+\.?[0-9]*)\s*m,tripod_central_shaft_dia_m;,not applicable;assumed;estimated,value in valid range,value between 3 and 8,false,false,false,review if outlier
WOF-061,es;en,gravity base footprint m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,gravity_base_footprint_m,regex:([0-9]+\.?[0-9]*)\s*m,gravity_base_footprint_m;,not applicable;assumed;estimated,value in valid range,value between 10 and 40,false,false,false,review if outlier
WOF-062,es;en,scour protection type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,scour_protection_type,,scour_protection_type;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-063,es;en,scour protection volume m3,,m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,scour_protection_volume_m3,regex:([0-9]+\.?[0-9]*)\s*m3,scour_protection_volume_m3;,not applicable;assumed;estimated,value in valid range,value between 0 and 50000,false,false,false,review if outlier
WOF-064,es;en,foundation design life yr,,year,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,foundation_design_life_yr,regex:([0-9]+\.?[0-9]*)\s*year,foundation_design_life_yr;,not applicable;assumed;estimated,value in valid range,value between 20 and 35,false,false,false,review if outlier
WOF-070,es;en,floating displacement t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,floating_displacement_t,regex:([0-9]+\.?[0-9]*)\s*t,floating_displacement_t;Hydrostatics table,not applicable;assumed;estimated,value in valid range,value between 500 and 30000,false,false,false,review if outlier
WOF-071,es;en,floating waterplane area m2,,m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,floating_waterplane_area_m2,regex:([0-9]+\.?[0-9]*)\s*m2,floating_waterplane_area_m2;Hydrostatics table,not applicable;assumed;estimated,value in valid range,value between 100 and 5000,false,false,false,review if outlier
WOF-072,es;en,metacentric height gm m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,metacentric_height_gm_m,regex:([0-9]+\.?[0-9]*)\s*m,metacentric_height_gm_m;Hydrostatics table,not applicable;assumed;estimated,value in valid range,value between 0.1 and 50,false,false,false,review if outlier
WOF-073,es;en,floating draft m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,floating_draft_m,regex:([0-9]+\.?[0-9]*)\s*m,floating_draft_m;Hydrostatics table,not applicable;assumed;estimated,value in valid range,value between 5 and 50,false,false,false,review if outlier
WOF-074,es;en,spar length m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,spar_length_m,regex:([0-9]+\.?[0-9]*)\s*m,spar_length_m;Hydrostatics table,not applicable;assumed;estimated,value in valid range,value between 40 and 200,false,false,false,review if outlier
WOF-075,es;en,tlp tendon count,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,tlp_tendon_count,,tlp_tendon_count;Tendon schedule,not applicable;assumed;estimated,value in valid range,value between 3 and 8,false,false,false,review if outlier
WOF-076,es;en,floating natural period heave s,,s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,floating_natural_period_heave_s,regex:([0-9]+\.?[0-9]*)\s*s,floating_natural_period_heave_s;,not applicable;assumed;estimated,value in valid range,value between 15 and 35,false,false,false,review if outlier
WOF-077,es;en,dynamic cable configuration,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,dynamic_cable_configuration,,dynamic_cable_configuration;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-080,es;en,mooring line count,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_count,,mooring_line_count;Mooring arrangement,not applicable;assumed;estimated,value in valid range,value between 3 and 12,false,false,false,review if outlier
WOF-081,es;en,mooring line type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_type,,mooring_line_type;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-082,es;en,mooring line diameter mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_diameter_mm,regex:([0-9]+\.?[0-9]*)\s*mm,mooring_line_diameter_mm;,not applicable;assumed;estimated,value in valid range,value between 40 and 200,false,false,false,review if outlier
WOF-083,es;en,mooring line length m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_length_m,regex:([0-9]+\.?[0-9]*)\s*m,mooring_line_length_m;,not applicable;assumed;estimated,value in valid range,value between 50 and 2000,false,false,false,review if outlier
WOF-084,es;en,mooring pretension kn,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_pretension_kn,regex:([0-9]+\.?[0-9]*)\s*kN,mooring_pretension_kn;,not applicable;assumed;estimated,value in valid range,value between 100 and 5000,false,false,false,review if outlier
WOF-085,es;en,mooring azimuth deg,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_azimuth_deg,regex:([0-9]+\.?[0-9]*)\s*deg,mooring_azimuth_deg;,not applicable;assumed;estimated,value in valid range,value between 0 and 360,false,false,false,review if outlier
WOF-086,es;en,mooring line fatigue life yr,,year,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_line_fatigue_life_yr,regex:([0-9]+\.?[0-9]*)\s*year,mooring_line_fatigue_life_yr;,not applicable;assumed;estimated,value in valid range,value between 20 and 50,false,false,false,review if outlier
WOF-087,es;en,mooring redundancy intact,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_redundancy_intact,,mooring_redundancy_intact;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-088,es;en,mooring redundancy damaged,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_redundancy_damaged,,mooring_redundancy_damaged;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-089,es;en,mooring chain grade,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,mooring_chain_grade,,mooring_chain_grade;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-090,es;en,anchor type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_type,,anchor_type;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-091,es;en,anchor penetration m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_penetration_m,regex:([0-9]+\.?[0-9]*)\s*m,anchor_penetration_m;,not applicable;assumed;estimated,value in valid range,value between 0 and 35,false,false,false,review if outlier
WOF-092,es;en,anchor design load kn,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_design_load_kn,regex:([0-9]+\.?[0-9]*)\s*kN,anchor_design_load_kn;,not applicable;assumed;estimated,value in valid range,value between 100 and 20000,false,false,false,review if outlier
WOF-093,es;en,anchor safety factor min,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_safety_factor_min,,anchor_safety_factor_min;,not applicable;assumed;estimated,value in valid range,value between 1.0 and 3.0,false,false,false,review if outlier
WOF-094,es;en,anchor drag distance m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_drag_distance_m,regex:([0-9]+\.?[0-9]*)\s*m,anchor_drag_distance_m;,not applicable;assumed;estimated,value in valid range,value between 0 and 200,false,false,false,review if outlier
WOF-095,es;en,anchor suction pile diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchor_suction_pile_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,anchor_suction_pile_diameter_m;,not applicable;assumed;estimated,value in valid range,value between 1 and 10,false,false,false,review if outlier
WOF-100,es;en,inter array cable voltage kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,inter_array_cable_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*kV,inter_array_cable_voltage_kv;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 33 and 132,false,false,false,review if outlier
WOF-101,es;en,inter array cable cross section mm2,,mm2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,inter_array_cable_cross_section_mm2,regex:([0-9]+\.?[0-9]*)\s*mm2,inter_array_cable_cross_section_mm2;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 50 and 1000,false,false,false,review if outlier
WOF-102,es;en,inter array cable count,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,inter_array_cable_count,,inter_array_cable_count;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 1 and 200,false,false,false,review if outlier
WOF-103,es;en,array cable route total length km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,array_cable_route_total_length_km,regex:([0-9]+\.?[0-9]*)\s*km,array_cable_route_total_length_km;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 1 and 500,false,false,false,review if outlier
WOF-104,es;en,export cable voltage kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,export_cable_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*kV,export_cable_voltage_kv;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 33 and 525,false,false,false,review if outlier
WOF-105,es;en,export cable cross section mm2,,mm2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,export_cable_cross_section_mm2,regex:([0-9]+\.?[0-9]*)\s*mm2,export_cable_cross_section_mm2;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 95 and 3000,false,false,false,review if outlier
WOF-106,es;en,export cable length km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,export_cable_length_km,regex:([0-9]+\.?[0-9]*)\s*km,export_cable_length_km;Cable schedule,not applicable;assumed;estimated,value in valid range,value between 1 and 1500,false,false,false,review if outlier
WOF-107,es;en,export cable type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,export_cable_type,,export_cable_type;Cable schedule,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-108,es;en,cable burial depth m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cable_burial_depth_m,regex:([0-9]+\.?[0-9]*)\s*m,cable_burial_depth_m;Cable burial profile,not applicable;assumed;estimated,value in valid range,value between 0 and 3,false,false,false,review if outlier
WOF-109,es;en,cable installation method,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,cable_installation_method,,cable_installation_method;Method statement,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-110,es;en,oss topside mass t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,oss_topside_mass_t,regex:([0-9]+\.?[0-9]*)\s*t,oss_topside_mass_t;Mass table,not applicable;assumed;estimated,value in valid range,value between 200 and 10000,false,false,false,review if outlier
WOF-111,es;en,oss foundation type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,oss_foundation_type,,oss_foundation_type;Foundation selection,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-112,es;en,oss transformer capacity mva,,MVA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,oss_transformer_capacity_mva,regex:([0-9]+\.?[0-9]*)\s*MVA,oss_transformer_capacity_mva;Single line diagram,not applicable;assumed;estimated,value in valid range,value between 50 and 2000,false,false,false,review if outlier
WOF-113,es;en,oss hvac or hvdc,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,oss_hvac_or_hvdc,,oss_hvac_or_hvdc;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-114,es;en,hvdc converter station,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,hvdc_converter_station,,hvdc_converter_station;,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-115,es;en,oss position lat,,deg,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,oss_position_lat,regex:([0-9]+\.?[0-9]*)\s*deg,oss_position_lat;WGS84 lat,not applicable;assumed;estimated,value in valid range,value between -90 and 90,false,false,false,review if outlier
WOF-120,es;en,port distance to site km,,km,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,port_distance_to_site_km,regex:([0-9]+\.?[0-9]*)\s*km,port_distance_to_site_km;Port-to-site route,not applicable;assumed;estimated,value in valid range,value between 1 and 500,false,false,false,review if outlier
WOF-121,es;en,port quay load t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,port_quay_load_t,regex:([0-9]+\.?[0-9]*)\s*t,port_quay_load_t;Port datasheet,not applicable;assumed;estimated,value in valid range,value between 100 and 20000,false,false,false,review if outlier
WOF-122,es;en,port laydown area m2,,m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,port_laydown_area_m2,regex:([0-9]+\.?[0-9]*)\s*m2,port_laydown_area_m2;Port datasheet,not applicable;assumed;estimated,value in valid range,value between 1000 and 500000,false,false,false,review if outlier
WOF-123,es;en,port quay draft m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,port_quay_draft_m,regex:([0-9]+\.?[0-9]*)\s*m,port_quay_draft_m;Port datasheet,not applicable;assumed;estimated,value in valid range,value between 3 and 15,false,false,false,review if outlier
WOF-124,es;en,installation vessel type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,installation_vessel_type,,installation_vessel_type;Vessel spec sheet,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-125,es;en,pile driving hammer kj,,kJ,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,pile_driving_hammer_kj,regex:([0-9]+\.?[0-9]*)\s*kJ,pile_driving_hammer_kj;Hammer datasheet,not applicable;assumed;estimated,value in valid range,value between 50 and 3000,false,false,false,review if outlier
WOF-126,es;en,drilling rig capacity t,,t,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,drilling_rig_capacity_t,regex:([0-9]+\.?[0-9]*)\s*t,drilling_rig_capacity_t;Drilling rig datasheet,not applicable;assumed;estimated,value in valid range,value between 50 and 2000,false,false,false,review if outlier
WOF-127,es;en,grouting pump pressure bar,,bar,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,grouting_pump_pressure_bar,regex:([0-9]+\.?[0-9]*)\s*bar,grouting_pump_pressure_bar;Pump datasheet,not applicable;assumed;estimated,value in valid range,value between 5 and 200,false,false,false,review if outlier
WOF-130,es;en,marine mammal mitigation,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,marine_mammal_mitigation,,marine_mammal_mitigation;EIA report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-131,es;en,bird collision risk model,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,bird_collision_risk_model,,bird_collision_risk_model;EIA report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-132,es;en,fish artificial reef assessment,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,fish_artificial_reef_assessment,,fish_artificial_reef_assessment;EIA report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
