field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
BIG-038,es,fraccion solido pct,,%,lab_report|datasheet,Tabla 'Solid fraction',DIGESTATO FRACCION SOLIDO PCT,[-+]?\d*\.?\d+\s*%,digestato|digestate|separación,compost|fertilizante químico,convert fraction to % (multiply by 100),"in [15, 35]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-039,es,N total kg t,,kg/t,lab_report|datasheet,Tabla 'NPK',DIGESTATO N TOTAL KG T,[-+]?\d*\.?\d+\s*kg/t,digestato|digestate|separación,compost|fertilizante químico,keep SI unit,"in [1, 15]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-040,es,P2O5 kg t,,kg/t,lab_report|datasheet,Tabla 'NPK',DIGESTATO P2O5 KG T,[-+]?\d*\.?\d+\s*kg/t,digestato|digestate|separación,compost|fertilizante químico,keep SI unit,"in [0.5, 10]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-041,es,K2O kg t,,kg/t,lab_report|datasheet,Tabla 'NPK',DIGESTATO K2O KG T,[-+]?\d*\.?\d+\s*kg/t,digestato|digestate|separación,compost|fertilizante químico,keep SI unit,"in [1, 20]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-042,es,almacenamiento dias,,d,lab_report|datasheet,Sección 'Storage capacity',DIGESTATO ALMACENAMIENTO DIAS,[-+]?\d*\.?\d+\s*d,digestato|digestate|separación,compost|fertilizante químico,keep SI unit,"in [90, 365]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-043,es,tecnologia,,-,process_datasheet|upgrading_spec,Sección 'Upgrading technology',UPGRADE TECNOLOGIA,[A-Za-z][A-Za-z0-9_\- ]+,biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-044,es,H2S outlet ppm,H2S,ppmv,process_datasheet|upgrading_spec,Sección 'H2S specification',UPGRADE H2S OUTLET PPM,[-+]?\d*\.?\d+\s*ppmv,biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,convert %vol to ppmv (multiply by 10000) or viceversa,"in [0, 200]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-045,es,CH4 salida pct,CH4,%vol,process_datasheet|upgrading_spec,Sección 'Biomethane quality',UPGRADE CH4 SALIDA PCT,[-+]?\d*\.?\d+\s*%vol,biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,keep SI unit,"in [96, 99]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-046,es,recuperacion CH4 pct,CH4,%,process_datasheet|upgrading_spec,Sección 'Methane recovery',UPGRADE RECUPERACION CH4 PCT,[-+]?\d*\.?\d+\s*%,biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,convert fraction to % (multiply by 100),"in [90, 99.5]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-047,es,presion operacion kPa g,kPa,kPa(g),process_datasheet|upgrading_spec,Sección 'Operating pressure',UPGRADE PRESION OPERACION KPA G,[-+]?\d*\.?\d+\s*kPa\(g\),biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,convert bar to kPa (multiply by 100) and PSI to kPa (multiply by 6.89476),"in [400, 8000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-048,es,consumo electrico kWh m3 biogas,,kWh/m3 biogas,process_datasheet|upgrading_spec,Sección 'Energy consumption',UPGRADE CONSUMO ELECTRICO KWH M3 BIOGAS,[-+]?\d*\.?\d+\s*kWh/m3\ biogas,biometano|upgrading|upgrade|biomethane,biogás crudo|gas natural|biocombustible líquido,convert kWh to MJ (multiply by 3.6),"in [0.15, 0.8]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-049,es,gas holder tipo,,-,mechanical_spec|datasheet,Sección 'Gas holder type',GAS HOLDER TIPO,[A-Za-z][A-Za-z0-9_\- ]+,gasómetro|gas holder|gas storage|membrane,gas natural|GNL|GLP,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-050,es,gas holder volumen m3,,m3,mechanical_spec|datasheet,Sección 'Volume',GAS HOLDER VOLUMEN M3,[-+]?\d*\.?\d+\s*m3,gasómetro|gas holder|gas storage|membrane,gas natural|GNL|GLP,keep SI unit,"in [50, 20000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-051,es,gas holder altura m,,m,mechanical_spec|datasheet,Sección 'Dimensions',GAS HOLDER ALTURA M,[-+]?\d*\.?\d+\s*m,gasómetro|gas holder|gas storage|membrane,gas natural|GNL|GLP,keep SI unit,"in [3, 20]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-052,es,tipo,,-,datasheet|mechanical_spec,Sección 'Compressor type',COMPRESOR BIOGAS TIPO,[A-Za-z][A-Za-z0-9_\- ]+,compresor|compresión|compressor,aire comprimido|nitrógeno,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-053,es,biomethano presion salida kPa g,kPa,kPa(g),datasheet|mechanical_spec,Sección 'Discharge pressure',COMPRESOR BIOMETHANO PRESION SALIDA KPA G,[-+]?\d*\.?\d+\s*kPa\(g\),compresor|compresión|compressor,aire comprimido|nitrógeno,convert bar to kPa (multiply by 100) and PSI to kPa (multiply by 6.89476),"in [400, 25000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-054,es,CH4 LEL setpoint pct,CH4,%LEL,safety_spec|datasheet,Sección 'Alarm setpoints',GAS DET CH4 LEL SETPOINT PCT,[-+]?\d*\.?\d+\s*%LEL,detección|gas|detection|sensor|H2S|CH4|O2,humo|vapor|niebla,keep SI unit,"in [10, 60]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-055,es,H2S TWA setpoint ppm,H2S,ppm,safety_spec|datasheet,Sección 'Alarm setpoints',GAS DET H2S TWA SETPOINT PPM,[-+]?\d*\.?\d+\s*ppm,detección|gas|detection|sensor|H2S|CH4|O2,humo|vapor|niebla,convert %vol to ppmv (multiply by 10000) or viceversa,"in [1, 15]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-056,es,O2 min max pct,O2,%vol,safety_spec|datasheet,Sección 'Alarm setpoints',GAS DET O2 MIN MAX PCT,[-+]?\d*\.?\d+\s*%vol,detección|gas|detection|sensor|H2S|CH4|O2,humo|vapor|niebla,keep SI unit,"in [19, 23.5]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-057,es,clasificacion zona digerido,,-,area_classification_study,Plano 'Area classification',AREA CLASIFICACION ZONA DIGERIDO,[A-Za-z][A-Za-z0-9_\- ]+,ATEX|Zone|hazardous area|clasificación áreas,área segura|non-hazardous,keep SI unit,,True,True,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-058,es,clasificacion zona gas holder,,-,area_classification_study,Plano 'Area classification',AREA CLASIFICACION ZONA GAS HOLDER,[A-Za-z][A-Za-z0-9_\- ]+,ATEX|Zone|hazardous area|clasificación áreas,área segura|non-hazardous,keep SI unit,,True,True,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-059,es,clasificacion zona flare,,-,area_classification_study,Plano 'Area classification',AREA CLASIFICACION ZONA FLARE,[A-Za-z][A-Za-z0-9_\- ]+,ATEX|Zone|hazardous area|clasificación áreas,área segura|non-hazardous,keep SI unit,,True,True,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-060,es,extension zona 1 m,,m,area_classification_study,Tabla 'Zone extents',AREA EXTENSION ZONA 1 M,[-+]?\d*\.?\d+\s*m,ATEX|Zone|hazardous area|clasificación áreas,área segura|non-hazardous,keep SI unit,"in [0.5, 15]",True,True,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-061,es,tipo,,-,flare_spec|dispersion_study,Sección 'Flare type',FLARE TIPO,[A-Za-z][A-Za-z0-9_\- ]+,antorcha|flare|quemador|stack,chimenea|ventilación|escape motor,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-062,es,altura stack m,,m,flare_spec|dispersion_study,Sección 'Stack height',FLARE ALTURA STACK M,[-+]?\d*\.?\d+\s*m,antorcha|flare|quemador|stack,chimenea|ventilación|escape motor,keep SI unit,"in [4, 30]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-063,es,capacidad max m3 h,,m3/h,flare_spec|dispersion_study,Sección 'Capacity',FLARE CAPACIDAD MAX M3 BIOGAS H,[-+]?\d*\.?\d+\s*m3/h,antorcha|flare|quemador|stack,chimenea|ventilación|escape motor,keep SI unit,"in [50, 20000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-064,es,distancia propiedad radiacion m,,m,flare_spec|dispersion_study,Sección 'Thermal radiation',FLARE DISTANCIA PROPIEDAD RADIACION M,[-+]?\d*\.?\d+\s*m,antorcha|flare|quemador|stack,chimenea|ventilación|escape motor,keep SI unit,"in [15, 200]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-065,es,potencia electrica kW,CHP,kW,chp_datasheet|emission_report,Sección 'Rated electrical output',CHP POTENCIA ELECTRICA KW,[-+]?\d*\.?\d+\s*kW,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,keep SI unit,"in [50, 10000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-066,es,eficiencia electrica pct,CHP,%,chp_datasheet|emission_report,Sección 'Electrical efficiency',CHP EFICIENCIA ELECTRICA PCT,[-+]?\d*\.?\d+\s*%,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,convert fraction to % (multiply by 100),"in [30, 48]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-067,es,eficiencia termica pct,CHP,%,chp_datasheet|emission_report,Sección 'Thermal efficiency',CHP EFICIENCIA TERMICA PCT,[-+]?\d*\.?\d+\s*%,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,convert fraction to % (multiply by 100),"in [35, 55]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-068,es,emisiones NOx mg Nm3,CHP,mg/Nm3,chp_datasheet|emission_report,Sección 'NOx emissions',CHP EMISIONES NOX MG NM3,[-+]?\d*\.?\d+\s*mg/Nm3,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,keep SI unit,"in [50, 500]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-069,es,emisiones CO mg Nm3,CHP,mg/Nm3,chp_datasheet|emission_report,Sección 'CO emissions',CHP EMISIONES CO MG NM3,[-+]?\d*\.?\d+\s*mg/Nm3,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,keep SI unit,"in [50, 500]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-070,es,emisiones formaldehyde mg Nm3,CHP,mg/Nm3,chp_datasheet|emission_report,Sección 'Formaldehyde emissions',CHP EMISIONES FORMALDEHYDE MG NM3,[-+]?\d*\.?\d+\s*mg/Nm3,motor|CHP|cogeneración|engine,caldera sola|motor diesel|turbina gas,keep SI unit,"in [5, 60]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-071,es,tension media kV,,kV,interconnection_study,Sección 'PCC voltage',GRID TENSION MEDIA KV,[-+]?\d*\.?\d+\s*kV,grid|interconexión|PCC|SEIN,diesel genset|UPS,keep SI unit,"in [1, 44]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-072,es,potencia exportacion kW,,kW,interconnection_study,Sección 'Active power export',GRID POTENCIA EXPORTACION KW,[-+]?\d*\.?\d+\s*kW,grid|interconexión|PCC|SEIN,diesel genset|UPS,keep SI unit,"in [10, 10000]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-073,es,potencia corta kW,,kA,interconnection_study,Sección 'Short-circuit current',GRID POTENCIA CORTA KW,[-+]?\d*\.?\d+\s*kA,grid|interconexión|PCC|SEIN,diesel genset|UPS,keep SI unit,"in [1, 50]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-074,es,export distrito kW,,kW,thermal_study,Sección 'Heat export',HEAT EXPORT DISTRITO KW,[-+]?\d*\.?\d+\s*kW,district heating|calefacción|thermal|red térmica,calefacción eléctrica,keep SI unit,"in [0, 10000]",False,False,True,
BIG-075,es,export temperatura ida C,,°C,thermal_study,Sección 'Supply temperature',HEAT EXPORT TEMPERATURA IDA C,[-+]?\d*\.?\d+\s*°C,district heating|calefacción|thermal|red térmica,calefacción eléctrica,convert °F to °C ((F-32)*5/9) and K to °C (K-273.15),"in [70, 120]",False,False,True,
BIG-076,es,protocolo,SCADA,-,scada_spec|instrument_list,Sección 'Communication protocol',SCADA PROTOCOLO,[A-Za-z][A-Za-z0-9_\- ]+,SCADA|PLC|instrumento|lazo|protocolo,RTU solar|instrumentación solar,keep SI unit,,True,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-077,es,PID lista,P&ID,-,scada_spec|instrument_list,Tabla 'Instrument loops',INSTRUMENTACION PID LISTA,[A-Za-z][A-Za-z0-9_\- ]+,SCADA|PLC|instrumento|lazo|protocolo,RTU solar|instrumentación solar,keep SI unit,,True,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-078,es,sil nivel,SIL,-,sil_study|safety_spec,Sección 'SIL assessment',ESD SIL NIVEL,[-+]?\d+,ESD|SIL|LOPA|safety|emergency|LEL|H2S toxicity,protección civil|seguridad física,keep SI unit,"in [1, 4]",False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
BIG-079,es,accion segura falla,ESD,-,sil_study|safety_spec,Sección 'Safe state',ESD ACCION SEGURA FALLA,[A-Za-z][A-Za-z0-9_\- ]+,ESD|SIL|LOPA|safety|emergency|LEL|H2S toxicity,protección civil|seguridad física,keep SI unit,,False,False,True,always - PROHIBITED_TO_ASSUME field requires human validation
