layer_id,discipline,technology_scope,name_template,description,aci_color,rgb_color,lineweight_mm,linetype,plot_behavior,visible_scales,entity_types,source_ids
23,GEN,ALL,GEN-ALL-WORK-AREA,Área de trabajo / zona de plano,6,"255,255,0",0.13,DASHED,NO_PLOT,ALL,POLYLINE,DXF_R2018
24,GEN,ALL,GEN-ALL-XREF-BOUNDARY,Marco de XREF,7,"0,0,0",0.13,CONTINUOUS,NO_PLOT,ALL,POLYLINE,DXF_R2018
25,CIVIL,ALL,CIV-ALL-TOPO-EXISTING,Topografía existente,6,"255,255,0",0.13,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;POINT,ISO_14685
26,CIVIL,ALL,CIV-ALL-TOPO-PROPOSED,Topografía propuesta,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;POINT,ISO_14685
27,CIVIL,ALL,CIV-ALL-CONTOUR-MAJOR,Curvas de nivel principales,9,"255,165,0",0.25,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_14685
28,CIVIL,ALL,CIV-ALL-CONTOUR-MINOR,Curvas de nivel secundarias,9,"255,165,0",0.13,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_14685
29,CIVIL,ALL,CIV-ALL-BOUNDARY,Límite del terreno,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_19111
30,CIVIL,ALL,CIV-ALL-SETBACK,Retiros,1,"255,0,0",0.18,DASHED,PLOT,ALL,POLYLINE,RNE_DS_011_2006
31,CIVIL,ALL,CIV-ALL-ACCESS-ROAD,Vías de acceso,5,"0,255,255",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,RNE_DS_011_2006
32,CIVIL,ALL,CIV-ALL-FENCE,Cercos,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,RNE_DS_011_2006
33,CIVIL,ALL,CIV-ALL-DRAINAGE,Drenaje pluvial,5,"0,255,255",0.35,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,RNE_DS_011_2006
34,CIVIL,ALL,CIV-ALL-EXCAVATION,Zonas de excavación,9,"255,165,0",0.18,DASHED,PLOT,ALL,HATCH;POLYLINE,RNE_DS_011_2006
35,CIVIL,ALL,CIV-ALL-EMBANKMENT,Taludes de relleno,9,"255,165,0",0.18,CONTINUOUS,PLOT,ALL,LINE;HATCH,RNE_DS_011_2006
36,CIVIL,ALL,CIV-ALL-CUT,Taludes de corte,9,"255,165,0",0.18,CONTINUOUS,PLOT,ALL,LINE;HATCH,RNE_DS_011_2006
37,CIVIL,ALL,CIV-ALL-SITE-IMPLANT,Implantación del sitio,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_14685
38,CIVIL,ALL,CIV-ALL-GEOTECH-POINT,Puntos geotécnicos,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,POINT;TEXT,ISO_14685
39,ARC,ALL,ARC-ALL-BUILDING-OUTLINE,Perímetro de edificaciones,7,"0,0,0",0.7,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
40,ARC,ALL,ARC-ALL-WALL-EXT,Muros exteriores,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
41,ARC,ALL,ARC-ALL-WALL-INT,Muros interiores,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
42,ARC,ALL,ARC-ALL-DOOR,Puertas,3,"0,0,255",0.25,CONTINUOUS,PLOT,ALL,ARC;LINE,ISO_14617
43,ARC,ALL,ARC-ALL-WINDOW,Ventanas,5,"0,255,255",0.25,CONTINUOUS,PLOT,ALL,LINE,ISO_14617
44,ARC,ALL,ARC-ALL-FURNITURE,Mobiliario,8,"128,128,128",0.18,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
45,ARC,ALL,ARC-ALL-ROOM-TAG,Etiquetas de ambiente,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,TEXT;POLYLINE,RNE_DS_011_2006
46,STR,ALL,STR-ALL-FOUNDATION,Cimentaciones,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,RNE_DS_011_2006
47,STR,ALL,STR-ALL-FOOTING,Zapatas,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,RNE_DS_011_2006
48,STR,ALL,STR-ALL-PILE,Pilotes,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;HATCH,RNE_DS_011_2006
49,STR,ALL,STR-ALL-COLUMN,Columnas,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
50,STR,ALL,STR-ALL-BEAM,Vigas,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
51,STR,ALL,STR-ALL-SLAB,Losas,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,RNE_DS_011_2006
52,STR,ALL,STR-ALL-REBAR-MAIN,Acero principal,1,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE,RNE_DS_011_2006
53,STR,ALL,STR-ALL-REBAR-STIRRUP,Estribos,1,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,POLYLINE,RNE_DS_011_2006
54,STR,ALL,STR-ALL-REBAR-DIM,Cotas de acero,3,"0,0,255",0.18,CONTINUOUS,PLOT,ALL,DIMENSION;TEXT,RNE_DS_011_2006
55,STR,ALL,STR-ALL-ANCHOR-BOLT,Anclajes,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,CIRCLE;LINE,RNE_DS_011_2006
56,ELEC,ALL,ELEC-ALL-SLD,Diagrama unifilar,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE;TEXT;BLOCK,IEC_60617
57,ELEC,ALL,ELEC-ALL-AC-CABLE-1PH,Cable AC monofásico,3,"0,0,255",0.25,CONTINUOUS,PLOT,ALL,LINE,IEC_60617
58,ELEC,ALL,ELEC-ALL-AC-CABLE-3PH,Cable AC trifásico,3,"0,0,255",0.35,CONTINUOUS,PLOT,ALL,LINE,IEC_60617
59,ELEC,ALL,ELEC-ALL-DC-CABLE,Cable DC,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE,IEC_60617
60,ELEC,ALL,ELEC-ALL-GROUNDING,Puesta a tierra,2,"255,0,0",0.5,DASHED,PLOT,ALL,LINE;POLYLINE,IEEE_80_2013
61,ELEC,ALL,ELEC-ALL-CONDUIT,Conduit / canalización,5,"0,255,255",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,NEC_70_2023
62,ELEC,ALL,ELEC-ALL-TRANSFORMER,Transformadores,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;LINE;TEXT,IEC_60617
63,ELEC,ALL,ELEC-ALL-SWGEAR,Tableros / switchgear,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEC_60617
64,ELEC,ALL,ELEC-ALL-BREAKER,Breakers,7,"0,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE;TEXT,IEC_60617
65,ELEC,ALL,ELEC-ALL-INVERTER,Inversores,6,"255,255,0",0.5,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEC_60617
66,ELEC,ALL,ELEC-ALL-SURGE-ARRESTER,Pararrayos / DPS,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEC_61643_11
67,ELEC,ALL,ELEC-ALL-LIGHTNING-ROD,Captadores de rayo,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEC_62305_3
68,ELEC,ALL,ELEC-ALL-LIGHTNING-DOWNCONDUCTOR,Bajadas de rayo,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE,IEC_62305_3
69,ELEC,ALL,ELEC-ALL-COMM-CABLE,Cables de comunicación,4,"0,128,0",0.18,CONTINUOUS,PLOT,ALL,LINE,IEC_60617
70,ELEC,PV_GROUND;PV_ROOF;PV_FLOATING,ELEC-PV-MODULE-OUTLINE,Perímetro de módulo PV,3,"0,0,255",0.35,CONTINUOUS,PLOT,ALL,POLYLINE,IEC_61215_1
71,ELEC,PV_GROUND;PV_ROOF;PV_FLOATING,ELEC-PV-STRING-LAYOUT,Strings PV,3,"0,0,255",0.25,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEC_62548
72,ELEC,PV_GROUND,ELEC-PV-TRACKER,Trackers solares,6,"255,255,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;ARC,IEC_62817
73,ELEC,PV_GROUND;PV_ROOF;PV_FLOATING,ELEC-PV-ARRAY-BOUNDARY,Límite de arrays,3,"0,0,255",0.35,DASHED,PLOT,ALL,POLYLINE,IEC_62548
74,CIVIL,PV_GROUND;PV_FLOATING,CIV-PV-FOUNDATION,Cimentaciones PV,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,RNE_DS_011_2006
75,MECH,WIND_ONSHORE;WIND_OFFSHORE,MECH-WT-FOUNDATION,Cimentación aerogenerador,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,IEC_61400_6
76,MECH,WIND_ONSHORE;WIND_OFFSHORE,MECH-WT-TOWER,Torre WT,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,IEC_61400_6
77,MECH,WIND_ONSHORE;WIND_OFFSHORE,MECH-WT-ROTOR,Rotor WT,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;ARC,IEC_61400_5
78,ELEC,WIND_ONSHORE;WIND_OFFSHORE,ELEC-WT-COLLECTOR,Red colectora eólica,3,"0,0,255",0.35,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,IEC_61400_21_1
79,CIVIL,WIND_OFFSHORE,CIV-WT-MONPILE,Monopile offshore,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,DNV_OS_J101
80,CIVIL,WIND_OFFSHORE,CIV-WT-MOORING,Sistema de amarras,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,DNV_OS_E301
81,HYD,HYDRO,HYD-INTAKE,Captación / bocatoma,5,"0,255,255",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,ICOLD_Bull_120
82,HYD,HYDRO,HYD-PENSTOCK,Tubería forzada,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,ASME_B31_1_2022
83,HYD,HYDRO,HYD-TURBINE,Turbina hidráulica,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;ARC,IEC_60193
84,HYD,HYDRO,HYD-POWERHOUSE,Casa de máquinas,7,"0,0,0",0.7,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,ICOLD_Bull_120
85,HYD,HYDRO,HYD-TAILRACE,Canal de restitución,5,"0,255,255",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,ICOLD_Bull_120
86,HYD,HYDRO,HYD-SPILLWAY,Aliviadero,5,"0,255,255",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,ICOLD_Bull_60
87,ELEC,BESS,ELEC-BESS-RACK,Rack de baterías,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,IEC_62933_5_1
88,ELEC,BESS,ELEC-BESS-PCS,PCS / conversor,6,"255,255,0",0.5,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEC_62933_2_1
89,MECH,BESS,MECH-BESS-HVAC,HVAC del contenedor,5,"0,255,255",0.35,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,NFPA_855_2023
90,FIRE,BESS,FIRE-BESS-DETECTOR,Detectores de gas / humo,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,NFPA_855_2023
91,FIRE,BESS,FIRE-BESS-SPRINKLER,Rociadores,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;LINE,NFPA_13_2022
92,PROC,HYDROGEN,PROC-H2-ELECTROLYZER,Electrolizador,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEC_62282_8_201
93,PROC,HYDROGEN,PROC-H2-COMPRESSOR,Compresor H2,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;RECT;TEXT,ASME_B31_3_2022
94,PROC,HYDROGEN,PROC-H2-STORAGE,Almacenamiento H2,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,ASME_BPVC_VIII_1_2023
95,PROC,HYDROGEN,PROC-H2-PIPE-HIGH-PRESSURE,Tubería H2 alta presión,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_3_2022
96,PROC,HYDROGEN,PROC-H2-VENT,Venteo H2,2,"255,0,0",0.35,DASHED,PLOT,ALL,LINE,NFPA_853_2023
97,PROC,HYDROGEN,PROC-H2-FLARE,Antorcha H2,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,API_521
98,PROC,BIOMASS;BIOGAS,PROC-BIO-BOILER,Caldera,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,RECT;POLYLINE,ASME_BPVC_VIII_1_2023
99,PROC,BIOGAS,PROC-BIO-DIGESTER,Digestor anaerobio,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,RECT;POLYLINE;HATCH,ISO_22790
100,PROC,BIOGAS,PROC-BIO-GAS-HOLDER,Gasómetro,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;POLYLINE,API_610_2024
101,PROC,BIOMASS;BIOGAS,PROC-BIO-FLARE,Antorcha biogás,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,API_521
102,PROC,BIOGAS,PROC-BIO-PIPE-GAS,Tubería de biogás,4,"0,128,0",0.35,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_3_2022
103,PROC,GEOTHERMAL,PROC-GEO-WELL,Pozo geotérmico,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,API_610_2024
104,PROC,GEOTHERMAL,PROC-GEO-PIPE-2PHASE,Tubería bifásica,4,"0,128,0",0.5,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_3_2022
105,PROC,GEOTHERMAL,PROC-GEO-SEPARATOR,Separador vapor-salmuera,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;POLYLINE,ASME_BPVC_VIII_1_2023
106,MECH,CSP;SOLAR_THERMAL,MECH-CSP-HELIOSTAT,Heliostatos,6,"255,255,0",0.35,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_9806
107,MECH,CSP;SOLAR_THERMAL,MECH-CSP-RECEIVER,Receptor solar,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,ASHRAE_93
108,MECH,CSP;SOLAR_THERMAL,MECH-CSP-HTF-PIPE,Tubería HTF,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_1_2022
109,MECH,CSP;SOLAR_THERMAL,MECH-CSP-TES,Almacenamiento térmico,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,RECT;POLYLINE,NREL_TES_CSP
110,CIVIL,MARINE,CIV-MAR-ANCHOR,Anclajes marinos,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE,DNV_OS_E301
111,CIVIL,MARINE,CIV-MAR-MOORING-LINE,Líneas de amarra,2,"255,0,0",0.35,CONTINUOUS,PLOT,ALL,LINE,DNV_OS_E301
112,ELEC,MARINE;WIND_OFFSHORE,ELEC-MAR-SUBSEA-CABLE,Cable submarino,5,"0,255,255",0.5,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,IEC_TS_62600_30
113,INST,ALL,INST-ALL-INSTRUMENT,Instrumentos,4,"0,128,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,IEC_61511_1
114,INST,ALL,INST-ALL-CONTROL-LOOP,Lazos de control,4,"0,128,0",0.18,CONTINUOUS,PLOT,ALL,LINE;POLYLINE,IEC_61511_1
115,INST,ALL,INST-ALL-SIGNAL-ANALOG,Señales analógicas,4,"0,128,0",0.18,CONTINUOUS,PLOT,ALL,LINE,IEC_61511_1
116,INST,ALL,INST-ALL-SIGNAL-DIGITAL,Señales digitales,4,"0,128,0",0.18,DASHED,PLOT,ALL,LINE,IEC_61511_1
117,INST,ALL,INST-ALL-JB,Cajas de paso / JB,4,"0,128,0",0.25,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEC_61511_1
118,PROC,ALL,PROC-ALL-PIPE-MAIN,Tubería principal proceso,7,"0,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_3_2022
119,PROC,ALL,PROC-ALL-PIPE-AUX,Tubería auxiliar proceso,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE,ASME_B31_3_2022
120,PROC,ALL,PROC-ALL-VALVE,Válvulas proceso,3,"0,0,255",0.35,CONTINUOUS,PLOT,ALL,POLYLINE,ISO_14617
121,PROC,ALL,PROC-ALL-PUMP,Bombas proceso,3,"0,0,255",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;POLYLINE;TEXT,API_610_2024
122,PROC,ALL,PROC-ALL-HE,Intercambiadores,3,"0,0,255",0.5,CONTINUOUS,PLOT,ALL,RECT;POLYLINE,ISO_15547_1
123,FIRE,ALL,FIRE-ALL-FIRE-WATER-MAIN,Línea principal agua contra incendios,2,"255,0,0",0.7,CONTINUOUS,PLOT,ALL,LINE,NFPA_20_2022
124,FIRE,ALL,FIRE-ALL-HYDRANT,Hidrantes,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,CIRCLE;POLYLINE;TEXT,NFPA_13_2022
125,FIRE,ALL,FIRE-ALL-SPRINKLER,Rociadores,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;LINE,NFPA_13_2022
126,FIRE,ALL,FIRE-ALL-DETECTOR-SMOKE,Detectores de humo,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,NFPA_72_2019
127,FIRE,ALL,FIRE-ALL-DETECTOR-HEAT,Detectores de calor,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,NFPA_72_2019
128,FIRE,ALL,FIRE-ALL-DETECTOR-GAS,Detectores de gas,2,"255,0,0",0.25,CONTINUOUS,PLOT,ALL,CIRCLE;TEXT,IEC_60079_29_1
129,FIRE,ALL,FIRE-ALL-ESD,Sistema ESD,1,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEC_61511_1
130,COMM,ALL,COMM-ALL-FIBER,Fibra óptica,4,"0,128,0",0.25,CONTINUOUS,PLOT,ALL,LINE,IEC_61400_25
131,COMM,ALL,COMM-ALL-RTU,RTU,4,"0,128,0",0.5,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEC_60870-5-104
132,COMM,ALL,COMM-ALL-SCADA-NETWORK,Red SCADA,4,"0,128,0",0.18,CONTINUOUS,PLOT,ALL,LINE,IEC_61400_25
133,GEN,ALL,ENV-ALL-EXCLUSION-ZONE,Zonas de exclusión ambiental,3,"0,0,255",0.18,DASHED,PLOT,ALL,POLYLINE;HATCH,MINAM_DS_019_2009
134,GEN,ALL,ENV-ALL-NOISE-CONTOUR,Contornos de ruido,9,"255,165,0",0.18,CONTINUOUS,PLOT,ALL,POLYLINE,MINAM_DS_019_2009
135,GEN,ALL,ENV-ALL-WETLAND,Humedales,5,"0,255,255",0.35,CONTINUOUS,PLOT,ALL,POLYLINE;HATCH,MINAM_DS_019_2009
136,GEN,ALL,GIS-ALL-CRS-POINT,Puntos con CRS,7,"0,0,0",0.13,CONTINUOUS,NO_PLOT,ALL,POINT;TEXT,ISO_19111
137,GEN,ALL,GIS-ALL-WKT-POLYGON,Polígonos WKT,7,"0,0,0",0.13,CONTINUOUS,NO_PLOT,ALL,POLYLINE,ISO_19111
138,ELEC,HYBRID_MICROGRID,ELEC-MG-POINT-OF-COUPLING,Punto de acoplamiento común,2,"255,0,0",0.7,CONTINUOUS,PLOT,ALL,POLYLINE;TEXT,IEEE_1547_2018
139,ELEC,HYBRID_MICROGRID,ELEC-MG-ISLAND-BREAKER,Breaker de isla,2,"255,0,0",0.5,CONTINUOUS,PLOT,ALL,LINE;TEXT,IEEE_1547_4
140,ELEC,HYBRID_MICROGRID,ELEC-MG-BLACK-START,Black start unit,6,"255,255,0",0.5,CONTINUOUS,PLOT,ALL,RECT;TEXT,IEEE_1547_4
A-ASBLT|A-EQIP|E-GRID,GEN,ALL,A-ASBLT|A-EQIP|E-GRID,Capa A-ASBLT|A-EQIP|E-GRID generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-ASBL|A-CONT|E-GRID|S-FIRE|S-CYBR,GEN,ALL,A-ASBL|A-CONT|E-GRID|S-FIRE|S-CYBR,Capa A-ASBL|A-CONT|E-GRID|S-FIRE|S-CYBR generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-CONT|A-RACK|M-HVAC|S-FIRE,GEN,ALL,A-CONT|A-RACK|M-HVAC|S-FIRE,Capa A-CONT|A-RACK|M-HVAC|S-FIRE generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-IMPL|A-PADS|C-FOUND,GEN,ALL,A-IMPL|A-PADS|C-FOUND,Capa A-IMPL|A-PADS|C-FOUND generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-MODU|A-CELL|E-BUS,GEN,ALL,A-MODU|A-CELL|E-BUS,Capa A-MODU|A-CELL|E-BUS generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-NPLT|A-CONT|A-ROAD|A-FENC|E-GRID,GEN,ALL,A-NPLT|A-CONT|A-ROAD|A-FENC|E-GRID,Capa A-NPLT|A-CONT|A-ROAD|A-FENC|E-GRID generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-NPLT|A-PV|A-WIND|A-BESS|A-PCC|E-GRID,ELEC,BESS,A-NPLT|A-PV|A-WIND|A-BESS|A-PCC|E-GRID,Capa A-NPLT|A-PV|A-WIND|A-BESS|A-PCC|E-GRID generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
A-RACK|A-MODU|E-BMS,GEN,ALL,A-RACK|A-MODU|E-BMS,Capa A-RACK|A-MODU|E-BMS generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
As-built stamp,GEN,ALL,As-built stamp,Capa As-built stamp generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
C-ARCH|C-EMS|C-SCADA,GEN,ALL,C-ARCH|C-EMS|C-SCADA,Capa C-ARCH|C-EMS|C-SCADA generada automáticamente para resolver referencias,7,"0,0,0",0.25,CONTINUOUS,PLOT,ALL,LINE;POLYLINE;TEXT;CIRCLE;ARC,ISO_13567_1
