field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
H2-063,es;en,esd_response_time_ms,,ms,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,esd_response_time_ms,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-064,es;en,total_power_kw,,kW,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,total_power_kw,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-065,es;en,rectifier_efficiency_pct,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,rectifier_efficiency_pct,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-066,es;en,transformer_rated_power_kva,,kVA,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,transformer_rated_power_kva,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-067,es;en,grid_interconnection_voltage_kv,,kV,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,grid_interconnection_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-068,es;en,pcc_id,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,pcc_id,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-069,es;en,water_extraction_permit,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,water_extraction_permit,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-070,es;en,eia_classification,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,eia_classification,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-071,es;en,h2_emission_vent_kg_year,,kg/year,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,h2_emission_vent_kg_year,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-072,es;en,fire_water_demand_m3_h,,m3/h,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,fire_water_demand_m3_h,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-073,es;en,scada_architecture,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,scada_architecture,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-074,es;en,cybersecurity_zone,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,cybersecurity_zone,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-075,es;en,comm_protocol,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,comm_protocol,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-080,es;en,assumed_electrolyzer_efficiency,,percent,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_electrolyzer_efficiency,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-081,es;en,assumed_energy_consumption_kwh_kg,,kWh/kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_energy_consumption_kwh_kg,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-082,es;en,assumed_water_consumption_l_kg,,L/kg H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_water_consumption_l_kg,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-083,es;en,assumed_storage_pressure,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_storage_pressure,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-084,es;en,assumed_pipe_diameter,,mm,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_pipe_diameter,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-085,es;en,assumed_pipe_material,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_pipe_material,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-086,es;en,assumed_sil_target,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_sil_target,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-087,es;en,assumed_dew_point,,degree C,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_dew_point,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-088,es;en,assumed_h2_production,,Nm3/h H2,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_h2_production,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-089,es;en,assumed_compressor_power,,kW,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_compressor_power,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-090,es;en,assumed_discharge_pressure,,bar,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_discharge_pressure,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-091,es;en,assumed_area_classification,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_area_classification,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-092,es;en,assumed_gas_group,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_gas_group,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-093,es;en,assumed_temperature_class,,-,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_temperature_class,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-094,es;en,assumed_storage_volume,,m3,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_storage_volume,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
H2-095,es;en,assumed_pcc_voltage,,kV,datasheet;report;drawing;specification,Properties;Specifications;Datasheet,assumed_pcc_voltage,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
