field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
BIO-011,es;en,ultimate_sulfur_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_sulfur_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-012,es;en,ultimate_oxygen_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_oxygen_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-013,es;en,ultimate_chlorine_daf_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ultimate_chlorine_daf_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-014,es;en,bulk_density_kg_m3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,bulk_density_kg_m3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-015,es;en,particle_size_mm,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,particle_size_mm;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-016,es;en,fuel_supply_distance_km,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fuel_supply_distance_km;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-017,es;en,truck_capacity_ton,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,truck_capacity_ton;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-018,es;en,truck_trips_per_day,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,truck_trips_per_day;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-019,es;en,storage_days_autonomy,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,storage_days_autonomy;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-020,es;en,fuel_storage_silo_capacity_m3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fuel_storage_silo_capacity_m3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-021,es;en,boiler_type,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,boiler_type;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-022,es;en,steam_pressure_bar,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,steam_pressure_bar;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-023,es;en,steam_temperature_c,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,steam_temperature_c;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-024,es;en,reheat_pressure_bar,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,reheat_pressure_bar;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-025,es;en,reheat_temperature_c,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,reheat_temperature_c;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-026,es;en,boiler_thermal_capacity_mwth,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,boiler_thermal_capacity_mwth;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-027,es;en,excess_air_ratio,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,excess_air_ratio;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-028,es;en,boiler_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,boiler_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-029,es;en,combustion_temperature_c,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,combustion_temperature_c;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-030,es;en,flue_gas_mass_flow_kg_s,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,flue_gas_mass_flow_kg_s;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-031,es;en,flue_gas_temperature_c,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,flue_gas_temperature_c;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-032,es;en,turbine_type,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,turbine_type;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-033,es;en,turbine_rated_power_mwe,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,turbine_rated_power_mwe;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-034,es;en,turbine_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,turbine_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-035,es;en,generator_rated_power_kva,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,generator_rated_power_kva;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-036,es;en,generator_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,generator_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-037,es;en,condenser_pressure_kpa,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,condenser_pressure_kpa;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-038,es;en,cooling_type,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,cooling_type;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-039,es;en,cooling_water_consumption_m3_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,cooling_water_consumption_m3_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-040,es;en,pm_emission_mg_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,pm_emission_mg_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-041,es;en,so2_emission_mg_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,so2_emission_mg_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-042,es;en,nox_emission_mg_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,nox_emission_mg_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-043,es;en,co_emission_mg_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,co_emission_mg_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-044,es;en,hcl_emission_mg_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,hcl_emission_mg_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
