"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"MG-045","es","Tiempo de respuesta EMS (ms)|Tiempo_de_respuesta_EMS_(ms)","MG-045","ms","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Tiempo de respuesta EMS (ms)","(?i)Tiempo\ de\ respuesta\ EMS\ \(ms\)","dispatch;Tiempo de respuesta EMS (ms)","no Tiempo de respuesta EMS (ms)","normalize_float_0","min=10.0 max=5000.0 unit=ms","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-046","es","Horizonte de forecast (h)|Horizonte_de_forecast_(h)","MG-046","h","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Horizonte de forecast (h)","(?i)Horizonte\ de\ forecast\ \(h\)","dispatch;Horizonte de forecast (h)","no Horizonte de forecast (h)","normalize_float_1","min=1.0 max=168.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-047","es","Resolucion de despacho (min)|Resolucion_de_despacho_(min)","MG-047","min","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Resolucion de despacho (min)","(?i)Resolucion\ de\ despacho\ \(min\)","dispatch;Resolucion de despacho (min)","no Resolucion de despacho (min)","normalize_float_0","min=1.0 max=60.0 unit=min","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-048","es","Funciones del EMS|Funciones_del_EMS","MG-048","","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Funciones del EMS","(?i)Funciones\ del\ EMS","dispatch;Funciones del EMS","no Funciones del EMS","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-049","es","Forecast de generacion PV/wind (h)|Forecast_de_generacion_PV/wind_(h)","MG-049","h","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Forecast de generacion PV/wind (h)","(?i)Forecast\ de\ generacion\ PV/wind\ \(h\)","dispatch;Forecast de generacion PV/wind (h)","no Forecast de generacion PV/wind (h)","normalize_float_1","min=1.0 max=72.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-050","es","Forecast de demanda (h)|Forecast_de_demanda_(h)","MG-050","h","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Forecast de demanda (h)","(?i)Forecast\ de\ demanda\ \(h\)","dispatch;Forecast de demanda (h)","no Forecast de demanda (h)","normalize_float_1","min=1.0 max=168.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-051","es","Reserva rodante objetivo (kW)|Reserva_rodante_objetivo_(kW)","MG-051","kW","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Reserva rodante objetivo (kW)","(?i)Reserva\ rodante\ objetivo\ \(kW\)","dispatch;Reserva rodante objetivo (kW)","no Reserva rodante objetivo (kW)","normalize_float_1","min=0.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-052","es","Reserva de storage (kWh)|Reserva_de_storage_(kWh)","MG-052","kWh","datasheet;memoria;certificado;contrato;estudio","dispatch;general","Reserva de storage (kWh)","(?i)Reserva\ de\ storage\ \(kWh\)","dispatch;Reserva de storage (kWh)","no Reserva de storage (kWh)","normalize_float_1","min=0.0 max=1000000.0 unit=kWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-053","es","SAIDI objetivo (min/cliente/ano)|SAIDI_objetivo_(min/cliente/ano)","MG-053","min/customer/year","datasheet;memoria;certificado;contrato;estudio","reliability;general","SAIDI objetivo (min/cliente/ano)","(?i)SAIDI\ objetivo\ \(min/cliente/ano\)","reliability;SAIDI objetivo (min/cliente/ano)","no SAIDI objetivo (min/cliente/ano)","normalize_float_1","min=0.0 max=2000.0 unit=min/customer/year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-054","es","SAIFI objetivo (1/cliente/ano)|SAIFI_objetivo_(1/cliente/ano)","MG-054","1/customer/year","datasheet;memoria;certificado;contrato;estudio","reliability;general","SAIFI objetivo (1/cliente/ano)","(?i)SAIFI\ objetivo\ \(1/cliente/ano\)","reliability;SAIFI objetivo (1/cliente/ano)","no SAIFI objetivo (1/cliente/ano)","normalize_float_2","min=0.0 max=50.0 unit=1/customer/year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-055","es","CAIDI objetivo (min/interrupcion)|CAIDI_objetivo_(min/interrupcion)","MG-055","min/interruption","datasheet;memoria;certificado;contrato;estudio","reliability;general","CAIDI objetivo (min/interrupcion)","(?i)CAIDI\ objetivo\ \(min/interrupcion\)","reliability;CAIDI objetivo (min/interrupcion)","no CAIDI objetivo (min/interrupcion)","normalize_float_1","min=0.0 max=500.0 unit=min/interruption","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-056","es","LOLP objetivo|LOLP_objetivo","MG-056","","datasheet;memoria;certificado;contrato;estudio","reliability;general","LOLP objetivo","(?i)LOLP\ objetivo","reliability;LOLP objetivo","no LOLP objetivo","normalize_float_4","min=0.0 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-057","es","EENS objetivo (kWh/ano)|EENS_objetivo_(kWh/ano)","MG-057","kWh/year","datasheet;memoria;certificado;contrato;estudio","reliability;general","EENS objetivo (kWh/ano)","(?i)EENS\ objetivo\ \(kWh/ano\)","reliability;EENS objetivo (kWh/ano)","no EENS objetivo (kWh/ano)","normalize_float_1","min=0.0 max=1000000.0 unit=kWh/year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-058","es","Tasa de fallo de generadores (1/h)|Tasa_de_fallo_de_generadores_(1/h)","MG-058","1/h","datasheet;memoria;certificado;contrato;estudio","reliability;general","Tasa de fallo de generadores (1/h)","(?i)Tasa\ de\ fallo\ de\ generadores\ \(1/h\)","reliability;Tasa de fallo de generadores (1/h)","no Tasa de fallo de generadores (1/h)","normalize_float_6","min=0.0 max=0.01 unit=1/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-059","es","Tiempo medio de reparacion (h)|Tiempo_medio_de_reparacion_(h)","MG-059","h","datasheet;memoria;certificado;contrato;estudio","reliability;general","Tiempo medio de reparacion (h)","(?i)Tiempo\ medio\ de\ reparacion\ \(h\)","reliability;Tiempo medio de reparacion (h)","no Tiempo medio de reparacion (h)","normalize_float_1","min=0.5 max=720.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-060","es","Islanding intencional habilitado|Islanding_intencional_habilitado","MG-060","","datasheet;memoria;certificado;contrato;estudio","island;general","Islanding intencional habilitado","(?i)Islanding\ intencional\ habilitado","island;Islanding intencional habilitado","no Islanding intencional habilitado","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-061","es","Tiempo de transicion isla (s)|Tiempo_de_transicion_isla_(s)","MG-061","s","datasheet;memoria;certificado;contrato;estudio","island;general","Tiempo de transicion isla (s)","(?i)Tiempo\ de\ transicion\ isla\ \(s\)","island;Tiempo de transicion isla (s)","no Tiempo de transicion isla (s)","normalize_float_3","min=0.01 max=60.0 unit=s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-062","es","Transicion seamless|Transicion_seamless","MG-062","","datasheet;memoria;certificado;contrato;estudio","island;general","Transicion seamless","(?i)Transicion\ seamless","island;Transicion seamless","no Transicion seamless","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-063","es","Carga en isla (kW)|Carga_en_isla_(kW)","MG-063","kW","datasheet;memoria;certificado;contrato;estudio","island;general","Carga en isla (kW)","(?i)Carga\ en\ isla\ \(kW\)","island;Carga en isla (kW)","no Carga en isla (kW)","normalize_float_1","min=0.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-064","es","Capacidad de black start|Capacidad_de_black_start","MG-064","","datasheet;memoria;certificado;contrato;estudio","blackstart;general","Capacidad de black start","(?i)Capacidad\ de\ black\ start","blackstart;Capacidad de black start","no Capacidad de black start","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-065","es","Secuencia de black start|Secuencia_de_black_start","MG-065","","datasheet;memoria;certificado;contrato;estudio","blackstart;general","Secuencia de black start","(?i)Secuencia\ de\ black\ start","blackstart;Secuencia de black start","no Secuencia de black start","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-066","es","Tiempo de black start (min)|Tiempo_de_black_start_(min)","MG-066","min","datasheet;memoria;certificado;contrato;estudio","blackstart;general","Tiempo de black start (min)","(?i)Tiempo\ de\ black\ start\ \(min\)","blackstart;Tiempo de black start (min)","no Tiempo de black start (min)","normalize_float_1","min=1.0 max=120.0 unit=min","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-067","es","Generadores de black start (lista)|Generadores_de_black_start_(lista)","MG-067","","datasheet;memoria;certificado;contrato;estudio","blackstart;general","Generadores de black start (lista)","(?i)Generadores\ de\ black\ start\ \(lista\)","blackstart;Generadores de black start (lista)","no Generadores de black start (lista)","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-068","es","Capacidad de black start (kW)|Capacidad_de_black_start_(kW)","MG-068","kW","datasheet;memoria;certificado;contrato;estudio","blackstart;general","Capacidad de black start (kW)","(?i)Capacidad\ de\ black\ start\ \(kW\)","blackstart;Capacidad de black start (kW)","no Capacidad de black start (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-069","es","Inversores grid-forming|Inversores_grid-forming","MG-069","","datasheet;memoria;certificado;contrato;estudio","control;general","Inversores grid-forming","(?i)Inversores\ grid\-forming","control;Inversores grid-forming","no Inversores grid-forming","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-070","es","Inversores grid-following|Inversores_grid-following","MG-070","","datasheet;memoria;certificado;contrato;estudio","control;general","Inversores grid-following","(?i)Inversores\ grid\-following","control;Inversores grid-following","no Inversores grid-following","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-071","es","Droop control (%)|Droop_control_(%)","MG-071","%","datasheet;memoria;certificado;contrato;estudio","control;general","Droop control (%)","(?i)Droop\ control\ \(%\)","control;Droop control (%)","no Droop control (%)","normalize_float_2","min=1.0 max=10.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
