"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"BESS-001","es","Nombre del proyecto BESS|Nombre_del_proyecto_BESS","BESS-001","","datasheet;memoria;certificado;contrato","project;general","Nombre del proyecto BESS","(?i)Nombre\ del\ proyecto\ BESS","project;Nombre del proyecto BESS","no Nombre del proyecto BESS","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-022","es","Masa del modulo|Masa_del_modulo","BESS-022","kg","datasheet;memoria;certificado;contrato","module;general","Masa del modulo","(?i)Masa\ del\ modulo","module;Masa del modulo","no Masa del modulo","normalize_float_1","min=5.0 max=500.0 unit=kg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-023","es","Nivel de BMS de modulo|Nivel_de_BMS_de_modulo","BESS-023","","datasheet;memoria;certificado;contrato","module;general","Nivel de BMS de modulo","(?i)Nivel\ de\ BMS\ de\ modulo","module;Nivel de BMS de modulo","no Nivel de BMS de modulo","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-024","es","Ancho del modulo|Ancho_del_modulo","BESS-024","mm","datasheet;memoria;certificado;contrato","module;general","Ancho del modulo","(?i)Ancho\ del\ modulo","module;Ancho del modulo","no Ancho del modulo","normalize_float_1","min=100.0 max=2000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-025","es","Alto del modulo|Alto_del_modulo","BESS-025","mm","datasheet;memoria;certificado;contrato","module;general","Alto del modulo","(?i)Alto\ del\ modulo","module;Alto del modulo","no Alto del modulo","normalize_float_1","min=100.0 max=2500.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-026","es","Profundidad del modulo|Profundidad_del_modulo","BESS-026","mm","datasheet;memoria;certificado;contrato","module;general","Profundidad del modulo","(?i)Profundidad\ del\ modulo","module;Profundidad del modulo","no Profundidad del modulo","normalize_float_1","min=50.0 max=1000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-027","es","Proteccion IP del modulo|Proteccion_IP_del_modulo","BESS-027","","datasheet;memoria;certificado;contrato","module;general","Proteccion IP del modulo","(?i)Proteccion\ IP\ del\ modulo","module;Proteccion IP del modulo","no Proteccion IP del modulo","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-028","es","Modulos por rack|Modulos_por_rack","BESS-028","","datasheet;memoria;certificado;contrato","rack;general","Modulos por rack","(?i)Modulos\ por\ rack","rack;Modulos por rack","no Modulos por rack","normalize_integer_0","min=1 max=50 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-029","es","Tension nominal del rack (DC)|Tension_nominal_del_rack_(DC)","BESS-029","V","datasheet;memoria;certificado;contrato","rack;general","Tension nominal del rack (DC)","(?i)Tension\ nominal\ del\ rack\ \(DC\)","rack;Tension nominal del rack (DC)","no Tension nominal del rack (DC)","normalize_float_1","min=48.0 max=1500.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-030","es","Capacidad energetica del rack (kWh)|Capacidad_energetica_del_rack_(kWh)","BESS-030","kWh","datasheet;memoria;certificado;contrato","rack;general","Capacidad energetica del rack (kWh)","(?i)Capacidad\ energetica\ del\ rack\ \(kWh\)","rack;Capacidad energetica del rack (kWh)","no Capacidad energetica del rack (kWh)","normalize_float_2","min=5.0 max=500.0 unit=kWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-031","es","Corriente maxima continua del rack|Corriente_maxima_continua_del_rack","BESS-031","A","datasheet;memoria;certificado;contrato","rack;general","Corriente maxima continua del rack","(?i)Corriente\ maxima\ continua\ del\ rack","rack;Corriente maxima continua del rack","no Corriente maxima continua del rack","normalize_float_1","min=5.0 max=500.0 unit=A","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-032","es","Proteccion IP del rack|Proteccion_IP_del_rack","BESS-032","","datasheet;memoria;certificado;contrato","rack;general","Proteccion IP del rack","(?i)Proteccion\ IP\ del\ rack","rack;Proteccion IP del rack","no Proteccion IP del rack","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-033","es","Masa del rack|Masa_del_rack","BESS-033","kg","datasheet;memoria;certificado;contrato","rack;general","Masa del rack","(?i)Masa\ del\ rack","rack;Masa del rack","no Masa del rack","normalize_float_1","min=100.0 max=5000.0 unit=kg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-034","es","Ancho del rack|Ancho_del_rack","BESS-034","mm","datasheet;memoria;certificado;contrato","rack;general","Ancho del rack","(?i)Ancho\ del\ rack","rack;Ancho del rack","no Ancho del rack","normalize_float_1","min=400.0 max=2000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-035","es","Alto del rack|Alto_del_rack","BESS-035","mm","datasheet;memoria;certificado;contrato","rack;general","Alto del rack","(?i)Alto\ del\ rack","rack;Alto del rack","no Alto del rack","normalize_float_1","min=1000.0 max=3000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-036","es","Profundidad del rack|Profundidad_del_rack","BESS-036","mm","datasheet;memoria;certificado;contrato","rack;general","Profundidad del rack","(?i)Profundidad\ del\ rack","rack;Profundidad del rack","no Profundidad del rack","normalize_float_1","min=300.0 max=1500.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-037","es","Temperatura maxima operativa del rack|Temperatura_maxima_operativa_del_rack","BESS-037","degC","datasheet;memoria;certificado;contrato","rack;general","Temperatura maxima operativa del rack","(?i)Temperatura\ maxima\ operativa\ del\ rack","rack;Temperatura maxima operativa del rack","no Temperatura maxima operativa del rack","normalize_float_1","min=0.0 max=65.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-038","es","Racks por contenedor|Racks_por_contenedor","BESS-038","","datasheet;memoria;certificado;contrato","container;general","Racks por contenedor","(?i)Racks\ por\ contenedor","container;Racks por contenedor","no Racks por contenedor","normalize_integer_0","min=1 max=40 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-039","es","Capacidad energetica del contenedor (MWh)|Capacidad_energetica_del_contenedor_(MWh)","BESS-039","MWh","datasheet;memoria;certificado;contrato","container;general","Capacidad energetica del contenedor (MWh)","(?i)Capacidad\ energetica\ del\ contenedor\ \(MWh\)","container;Capacidad energetica del contenedor (MWh)","no Capacidad energetica del contenedor (MWh)","normalize_float_3","min=0.05 max=10.0 unit=MWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-040","es","Potencia del contenedor (MW)|Potencia_del_contenedor_(MW)","BESS-040","MW","datasheet;memoria;certificado;contrato","container;general","Potencia del contenedor (MW)","(?i)Potencia\ del\ contenedor\ \(MW\)","container;Potencia del contenedor (MW)","no Potencia del contenedor (MW)","normalize_float_3","min=0.01 max=5.0 unit=MW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-041","es","Capacidad de HVAC del contenedor (kW)|Capacidad_de_HVAC_del_contenedor_(kW)","BESS-041","kW","datasheet;memoria;certificado;contrato","container;general","Capacidad de HVAC del contenedor (kW)","(?i)Capacidad\ de\ HVAC\ del\ contenedor\ \(kW\)","container;Capacidad de HVAC del contenedor (kW)","no Capacidad de HVAC del contenedor (kW)","normalize_float_1","min=1.0 max=200.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-042","es","Tipo de supresion de incendio del contenedor|Tipo_de_supresion_de_incendio_del_contenedor","BESS-042","","datasheet;memoria;certificado;contrato","container;general","Tipo de supresion de incendio del contenedor","(?i)Tipo\ de\ supresion\ de\ incendio\ del\ contenedor","container;Tipo de supresion de incendio del contenedor","no Tipo de supresion de incendio del contenedor","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-043","es","Proteccion IP del contenedor|Proteccion_IP_del_contenedor","BESS-043","","datasheet;memoria;certificado;contrato","container;general","Proteccion IP del contenedor","(?i)Proteccion\ IP\ del\ contenedor","container;Proteccion IP del contenedor","no Proteccion IP del contenedor","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-044","es","Ancho del contenedor|Ancho_del_contenedor","BESS-044","mm","datasheet;memoria;certificado;contrato","container;general","Ancho del contenedor","(?i)Ancho\ del\ contenedor","container;Ancho del contenedor","no Ancho del contenedor","normalize_float_1","min=800.0 max=3500.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-045","es","Alto del contenedor|Alto_del_contenedor","BESS-045","mm","datasheet;memoria;certificado;contrato","container;general","Alto del contenedor","(?i)Alto\ del\ contenedor","container;Alto del contenedor","no Alto del contenedor","normalize_float_1","min=2000.0 max=3200.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-046","es","Largo del contenedor|Largo_del_contenedor","BESS-046","mm","datasheet;memoria;certificado;contrato","container;general","Largo del contenedor","(?i)Largo\ del\ contenedor","container;Largo del contenedor","no Largo del contenedor","normalize_float_1","min=2000.0 max=20000.0 unit=mm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-047","es","Modo de acceso (walk-in / no walk-in)|Modo_de_acceso_(walk-in_/_no_walk-in)","BESS-047","","datasheet;memoria;certificado;contrato","container;general","Modo de acceso (walk-in / no walk-in)","(?i)Modo\ de\ acceso\ \(walk\-in\ /\ no\ walk\-in\)","container;Modo de acceso (walk-in / no walk-in)","no Modo de acceso (walk-in / no walk-in)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-048","es","Energia nominal del BESS (MWh)|Energia_nominal_del_BESS_(MWh)","BESS-048","MWh","datasheet;memoria;certificado;contrato","system;general","Energia nominal del BESS (MWh)","(?i)Energia\ nominal\ del\ BESS\ \(MWh\)","system;Energia nominal del BESS (MWh)","no Energia nominal del BESS (MWh)","normalize_float_3","min=0.01 max=1000.0 unit=MWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-049","es","Potencia nominal del BESS (MW)|Potencia_nominal_del_BESS_(MW)","BESS-049","MW","datasheet;memoria;certificado;contrato","system;general","Potencia nominal del BESS (MW)","(?i)Potencia\ nominal\ del\ BESS\ \(MW\)","system;Potencia nominal del BESS (MW)","no Potencia nominal del BESS (MW)","normalize_float_3","min=0.01 max=1000.0 unit=MW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-050","es","Duracion del BESS (horas)|Duracion_del_BESS_(horas)","BESS-050","h","datasheet;memoria;certificado;contrato","system;general","Duracion del BESS (horas)","(?i)Duracion\ del\ BESS\ \(horas\)","system;Duracion del BESS (horas)","no Duracion del BESS (horas)","normalize_float_2","min=0.25 max=24.0 unit=h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-051","es","Tasa C continua del BESS|Tasa_C_continua_del_BESS","BESS-051","1/h","datasheet;memoria;certificado;contrato","system;general","Tasa C continua del BESS","(?i)Tasa\ C\ continua\ del\ BESS","system;Tasa C continua del BESS","no Tasa C continua del BESS","normalize_float_3","min=0.05 max=4.0 unit=1/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-052","es","Tasa C pico del BESS|Tasa_C_pico_del_BESS","BESS-052","1/h","datasheet;memoria;certificado;contrato","system;general","Tasa C pico del BESS","(?i)Tasa\ C\ pico\ del\ BESS","system;Tasa C pico del BESS","no Tasa C pico del BESS","normalize_float_2","min=0.1 max=10.0 unit=1/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-053","es","Ratio DC/AC del BESS|Ratio_DC/AC_del_BESS","BESS-053","","datasheet;memoria;certificado;contrato","system;general","Ratio DC/AC del BESS","(?i)Ratio\ DC/AC\ del\ BESS","system;Ratio DC/AC del BESS","no Ratio DC/AC del BESS","normalize_float_2","min=0.5 max=2.5 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-054","es","Tension DC del sistema|Tension_DC_del_sistema","BESS-054","V","datasheet;memoria;certificado;contrato","system;general","Tension DC del sistema","(?i)Tension\ DC\ del\ sistema","system;Tension DC del sistema","no Tension DC del sistema","normalize_float_0","min=200.0 max=1700.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-055","es","Numero de contenedores del BESS|Numero_de_contenedores_del_BESS","BESS-055","","datasheet;memoria;certificado;contrato","system;general","Numero de contenedores del BESS","(?i)Numero\ de\ contenedores\ del\ BESS","system;Numero de contenedores del BESS","no Numero de contenedores del BESS","normalize_integer_0","min=1 max=200 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-056","es","Eficiencia redonda del BESS (RTE)|Eficiencia_redonda_del_BESS_(RTE)","BESS-056","%","datasheet;memoria;certificado;contrato","system;general","Eficiencia redonda del BESS (RTE)","(?i)Eficiencia\ redonda\ del\ BESS\ \(RTE\)","system;Eficiencia redonda del BESS (RTE)","no Eficiencia redonda del BESS (RTE)","normalize_float_1","min=70.0 max=98.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-057","es","DOD de diseno del BESS|DOD_de_diseno_del_BESS","BESS-057","%","datasheet;memoria;certificado;contrato","system;general","DOD de diseno del BESS","(?i)DOD\ de\ diseno\ del\ BESS","system;DOD de diseno del BESS","no DOD de diseno del BESS","normalize_float_1","min=50.0 max=95.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-058","es","Ciclos de vida garantizados|Ciclos_de_vida_garantizados","BESS-058","","datasheet;memoria;certificado;contrato","system;general","Ciclos de vida garantizados","(?i)Ciclos\ de\ vida\ garantizados","system;Ciclos de vida garantizados","no Ciclos de vida garantizados","normalize_integer_0","min=500 max=15000 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-059","es","Vida util del BESS (anos)|Vida_util_del_BESS_(anos)","BESS-059","year","datasheet;memoria;certificado;contrato","system;general","Vida util del BESS (anos)","(?i)Vida\ util\ del\ BESS\ \(anos\)","system;Vida util del BESS (anos)","no Vida util del BESS (anos)","normalize_float_1","min=5.0 max=25.0 unit=year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-060","es","Nivel de BMS de celda|Nivel_de_BMS_de_celda","BESS-060","","datasheet;memoria;certificado;contrato","bms;general","Nivel de BMS de celda","(?i)Nivel\ de\ BMS\ de\ celda","bms;Nivel de BMS de celda","no Nivel de BMS de celda","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-061","es","Nivel de BMS de modulo|Nivel_de_BMS_de_modulo","BESS-061","","datasheet;memoria;certificado;contrato","bms;general","Nivel de BMS de modulo","(?i)Nivel\ de\ BMS\ de\ modulo","bms;Nivel de BMS de modulo","no Nivel de BMS de modulo","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-062","es","Nivel de BMS de rack|Nivel_de_BMS_de_rack","BESS-062","","datasheet;memoria;certificado;contrato","bms;general","Nivel de BMS de rack","(?i)Nivel\ de\ BMS\ de\ rack","bms;Nivel de BMS de rack","no Nivel de BMS de rack","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-063","es","Nivel de BMS de sistema|Nivel_de_BMS_de_sistema","BESS-063","","datasheet;memoria;certificado;contrato","bms;general","Nivel de BMS de sistema","(?i)Nivel\ de\ BMS\ de\ sistema","bms;Nivel de BMS de sistema","no Nivel de BMS de sistema","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-064","es","Limite superior SOC|Limite_superior_SOC","BESS-064","%","datasheet;memoria;certificado;contrato","bms;general","Limite superior SOC","(?i)Limite\ superior\ SOC","bms;Limite superior SOC","no Limite superior SOC","normalize_float_1","min=80.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-065","es","Limite inferior SOC|Limite_inferior_SOC","BESS-065","%","datasheet;memoria;certificado;contrato","bms;general","Limite inferior SOC","(?i)Limite\ inferior\ SOC","bms;Limite inferior SOC","no Limite inferior SOC","normalize_float_1","min=0.0 max=30.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-066","es","SOH minimo antes de reemplazo|SOH_minimo_antes_de_reemplazo","BESS-066","%","datasheet;memoria;certificado;contrato","bms;general","SOH minimo antes de reemplazo","(?i)SOH\ minimo\ antes\ de\ reemplazo","bms;SOH minimo antes de reemplazo","no SOH minimo antes de reemplazo","normalize_float_1","min=60.0 max=90.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-067","es","Puntos de monitoreo de tension por rack|Puntos_de_monitoreo_de_tension_por_rack","BESS-067","","datasheet;memoria;certificado;contrato","bms;general","Puntos de monitoreo de tension por rack","(?i)Puntos\ de\ monitoreo\ de\ tension\ por\ rack","bms;Puntos de monitoreo de tension por rack","no Puntos de monitoreo de tension por rack","normalize_integer_0","min=1 max=200 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-068","es","Modo de despacho del EMS|Modo_de_despacho_del_EMS","BESS-068","","datasheet;memoria;certificado;contrato","ems;general","Modo de despacho del EMS","(?i)Modo\ de\ despacho\ del\ EMS","ems;Modo de despacho del EMS","no Modo de despacho del EMS","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-069","es","Limites de ramp rate del EMS|Limites_de_ramp_rate_del_EMS","BESS-069","%MW/min","datasheet;memoria;certificado;contrato","ems;general","Limites de ramp rate del EMS","(?i)Limites\ de\ ramp\ rate\ del\ EMS","ems;Limites de ramp rate del EMS","no Limites de ramp rate del EMS","normalize_float_1","min=1.0 max=100.0 unit=%MW/min","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-070","es","Ciclos diarios de carga/descarga|Ciclos_diarios_de_carga/descarga","BESS-070","1/day","datasheet;memoria;certificado;contrato","ems;general","Ciclos diarios de carga/descarga","(?i)Ciclos\ diarios\ de\ carga/descarga","ems;Ciclos diarios de carga/descarga","no Ciclos diarios de carga/descarga","normalize_float_2","min=0.5 max=10.0 unit=1/day","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-071","es","Tiempo de respuesta del EMS (ms)|Tiempo_de_respuesta_del_EMS_(ms)","BESS-071","ms","datasheet;memoria;certificado;contrato","ems;general","Tiempo de respuesta del EMS (ms)","(?i)Tiempo\ de\ respuesta\ del\ EMS\ \(ms\)","ems;Tiempo de respuesta del EMS (ms)","no Tiempo de respuesta del EMS (ms)","normalize_float_0","min=10.0 max=5000.0 unit=ms","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-072","es","Tiempo de soporte de PFR (segundos)|Tiempo_de_soporte_de_PFR_(segundos)","BESS-072","s","datasheet;memoria;certificado;contrato","ems;general","Tiempo de soporte de PFR (segundos)","(?i)Tiempo\ de\ soporte\ de\ PFR\ \(segundos\)","ems;Tiempo de soporte de PFR (segundos)","no Tiempo de soporte de PFR (segundos)","normalize_float_0","min=10.0 max=1800.0 unit=s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-073","es","Capacidad firming - perfil de generacion renovable|Capacidad_firming_-_perfil_de_generacion_renovable","BESS-073","","datasheet;memoria;certificado;contrato","ems;general","Capacidad firming - perfil de generacion renovable","(?i)Capacidad\ firming\ \-\ perfil\ de\ generacion\ renovable","ems;Capacidad firming - perfil de generacion renovable","no Capacidad firming - perfil de generacion renovable","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
