source_id,authority,document_code,title,edition_year,revision,official_url,access_date,primary_or_secondary,accessible_full_text,covered_topics,jurisdictions,notes
IEC_61400_24,IEC,IEC 61400-24,Wind energy generation systems - Part 24: Lightning protection,2019,1.0,https://webstore.iec.ch/publication/26425,2026-09-17,primary,false,Wind lightning protection,global,Propietario
IEC_61400_25,IEC,IEC 61400-25,Wind energy generation systems - Part 25: Communications for monitoring and control of wind power plants - Overall description,2017,2.0,https://webstore.iec.ch/publication/5998,2026-09-17,primary,false,Wind SCADA comms,global,Propietario
IEC_61400_27_1,IEC,IEC 61400-27-1,Wind energy generation systems - Part 27-1: Electrical simulation models - Wind turbines,2020,2.0,https://webstore.iec.ch/publication/26426,2026-09-17,primary,false,Wind electrical model,global,Propietario
IEC_60193,IEC,IEC 60193,"Hydraulic turbines, storage pumps and pump-turbines - Model acceptance tests",2019,3.0,https://webstore.iec.ch/publication/62879,2026-09-17,primary,false,Hydraulic turbine model test,global,Propietario
IEC_60308,IEC,IEC 60308,Water-turbines and reversible machines - Acceptance tests - Hydraulic performance,2005,2.0,https://webstore.iec.ch/publication/1407,2026-09-17,primary,false,Turbine hydraulic performance,global,Propietario
IEC_60545,IEC,IEC 60545,"Guide for commissioning, operation and maintenance of hydraulic turbines",1995,2.0,https://webstore.iec.ch/publication/2424,2026-09-17,primary,false,Turbine O&M,global,Propietario
IEC_61366,IEC,IEC 61366,Acceptance tests for hydroelectric equipment - Guide for field measurement of vibrations and pulsation in hydraulic machines,1998,1.0,https://webstore.iec.ch/publication/5677,2026-09-17,primary,false,Hydro vibration field measurement,global,Propietario
IEC_60041,IEC,IEC 60041,"Field acceptance tests to determine the hydraulic performance of hydraulic turbines, storage pumps and pump-turbines",1991,3.0,https://webstore.iec.ch/publication/118,2026-09-17,primary,false,Field turbine acceptance,global,Propietario
IEC_62256,IEC,IEC 62256,Hydraulic turbines and turbine control - Reliability and availability assurance,2017,1.1,https://webstore.iec.ch/publication/26256,2026-09-17,primary,false,Hydro reliability assurance,global,Propietario
IEC_62619,IEC,IEC 62619,"Secondary cells and batteries containing alkaline or other non-acid electrolytes - Safety requirements for secondary lithium cells and batteries, for use in industrial applications",2022,2.0,https://webstore.iec.ch/publication/63029,2026-09-17,primary,false,Lithium battery safety industrial,global,Propietario
IEC_62660_1,IEC,IEC 62660-1,Secondary lithium-ion cells for the propulsion of electric road vehicles - Part 1: Performance testing,2018,2.0,https://webstore.iec.ch/publication/26046,2026-09-17,primary,false,Li-ion performance testing,global,Propietario
IEC_62660_2,IEC,IEC 62660-2,Secondary lithium-ion cells for the propulsion of electric road vehicles - Part 2: Reliability and abuse testing,2018,2.0,https://webstore.iec.ch/publication/26047,2026-09-17,primary,false,Li-ion reliability abuse,global,Propietario
IEC_62660_3,IEC,IEC 62660-3,Secondary lithium-ion cells for the propulsion of electric road vehicles - Part 3: Safety requirements,2022,2.0,https://webstore.iec.ch/publication/26048,2026-09-17,primary,false,Li-ion safety EV,global,Propietario
IEC_62933_1,IEC,IEC 62933-1,Electrical energy storage (EES) systems - Part 1: Vocabulary,2024,2.0,https://webstore.iec.ch/publication/62843,2026-09-17,primary,false,EES vocabulary,global,Propietario
IEC_62933_2_1,IEC,IEC 62933-2-1,Electrical energy storage (EES) systems - Part 2-1: Unit parameters and testing methods - General system,2024,2.0,https://webstore.iec.ch/publication/62844,2026-09-17,primary,false,EES unit parameters testing,global,Propietario
IEC_62933_5_1,IEC,IEC 62933-5-1,Electrical energy storage (EES) systems - Part 5-1: Safety considerations for grid integrated EES systems - General specification,2024,1.0,https://webstore.iec.ch/publication/65431,2026-09-17,primary,false,EES grid safety,global,Propietario
IEC_62933_5_2,IEC,IEC 62933-5-2,Electrical energy storage (EES) systems - Part 5-2: Safety considerations for grid integrated EES systems - Electrical hazards protection,2024,1.0,https://webstore.iec.ch/publication/69698,2026-09-17,primary,false,EES electrical hazard protection,global,Propietario
IEC_62897,IEC,IEC 62897,Stationary battery energy storage system - Safety requirements,2024,1.1,https://webstore.iec.ch/publication/7459,2026-09-17,primary,false,Stationary BESS safety,global,Propietario
IEC_62368_1,IEC,IEC 62368-1,"Audio/video, information and communication technology equipment - Part 1: Safety requirements",2023,4.0,https://webstore.iec.ch/publication/63098,2026-09-17,primary,false,ICT equipment safety,global,Propietario
IEC_61851_1,IEC,IEC 61851-1,Electric vehicle conductive charging system - Part 1: General requirements,2017,3.0,https://webstore.iec.ch/publication/5965,2026-09-17,primary,false,EV charging general,global,Propietario
IEC_60364_4_41,IEC,IEC 60364-4-41,Low-voltage electrical installations - Part 4-41: Protection for safety - Protection against electric shock,2017,5.0,https://webstore.iec.ch/publication/25821,2026-09-17,primary,false,LV electric shock protection,global,Propietario
IEC_62282_2,IEC,IEC 62282-2,Fuel cell technologies - Part 2: Fuel cell modules,2012,1.0,https://webstore.iec.ch/publication/6342,2026-09-17,primary,false,Fuel cell modules,global,Propietario
IEC_62282_8_201,IEC,IEC 62282-8-201,Fuel cell technologies - Part 8-201: Energy systems of fuel cells for power generation - General requirements,2020,1.0,https://webstore.iec.ch/publication/63031,2026-09-17,primary,false,Fuel cell power generation,global,Propietario
IEC_60079_0,IEC,IEC 60079-0,Explosive atmospheres - Part 0: Equipment - General requirements,2024,8.0,https://webstore.iec.ch/publication/62941,2026-09-17,primary,false,Ex equipment general,global,Propietario
IEC_60079_10_1,IEC,IEC 60079-10-1,Explosive atmospheres - Part 10-1: Classification of areas - Explosive gas atmospheres,2020,2.0,https://webstore.iec.ch/publication/60396,2026-09-17,primary,false,Ex area classification gas,global,Propietario
IEC_60079_29_1,IEC,IEC 60079-29-1,Explosive atmospheres - Part 29-1: Gas detectors - Performance requirements of detectors for flammable gases,2016,1.0,https://webstore.iec.ch/publication/26000,2026-09-17,primary,false,Flammable gas detector,global,Propietario
IEC_61511_1,IEC,IEC 61511-1,"Functional safety - Safety instrumented systems for the process industry sector - Part 1: General framework, definitions, system, hardware and application programming requirements",2016,2.0,https://webstore.iec.ch/publication/25542,2026-09-17,primary,false,SIS process safety,global,Propietario
IEC_61508_1,IEC,IEC 61508-1,Functional safety of electrical/electronic/programmable electronic safety-related systems - Part 1: General requirements,2010,2.0,https://webstore.iec.ch/publication/3532,2026-09-17,primary,false,E/E/PE functional safety general,global,Propietario
IEC_62305_1,IEC,IEC 62305-1,Protection against lightning - Part 1: General principles,2024,3.0,https://webstore.iec.ch/publication/63032,2026-09-17,primary,false,Lightning protection principles,global,Propietario
IEC_62305_3,IEC,IEC 62305-3,Protection against lightning - Part 3: Physical damage to structures and life hazard,2024,3.0,https://webstore.iec.ch/publication/63034,2026-09-17,primary,false,Lightning physical damage,global,Propietario
IEC_60364_5_54,IEC,IEC 60364-5-54,Low-voltage electrical installations - Part 5-54: Earthing arrangements and protective conductors including protective bonding conductors,2024,4.0,https://webstore.iec.ch/publication/68133,2026-09-17,primary,false,LV earthing and bonding,global,Propietario
IEEE_1547_2018,IEEE,IEEE Std 1547-2018,IEEE Standard for Interconnection and Interoperability of Distributed Energy Resources with Associated Electric Power Systems Interfaces,2018,,https://standards.ieee.org/ieee/1547/5915/,2026-09-17,primary,false,DER interconnection requirements,global,Propietario
IEEE_1547_1,IEEE,IEEE Std 1547.1-2020,IEEE Standard Conformance Test Procedures for Equipment Interconnecting Distributed Energy Resources with Electric Power Systems and Associated Interfaces,2020,,https://standards.ieee.org/ieee/1547.1/10390/,2026-09-17,primary,false,DER conformance test,global,Propietario
IEEE_519_2022,IEEE,IEEE Std 519-2022,IEEE Standard for Harmonic Control in Electric Power Systems,2022,,https://standards.ieee.org/ieee/519/10318/,2026-09-17,primary,false,Harmonics control,global,Propietario
IEEE_80_2013,IEEE,IEEE Std 80-2013,IEEE Guide for Safety in AC Substation Grounding,2013,,https://standards.ieee.org/ieee/80/1038/,2026-09-17,primary,false,AC substation grounding,global,Propietario
IEEE_835,IEEE,IEEE Std 835-2019,IEEE Standard Power Cable Ampacity Tables,2019,,https://standards.ieee.org/ieee/835/6546/,2026-09-17,primary,false,Cable ampacity tables,global,Propietario
IEEE_2030_2,IEEE,IEEE Std 2030.2-2016,IEEE Guide for the Interoperability of Energy Storage Systems Integrated with the Electric Power Infrastructure,2016,,https://standards.ieee.org/ieee/2030.2/7400/,2026-09-17,primary,false,EES interoperability,global,Propietario
IEEE_1547_4,IEEE,IEEE Std 1547.4-2011,"IEEE Guide for Design, Operation, and Integration of Distributed Resource Island Systems with Electric Power Systems",2011,,https://standards.ieee.org/ieee/1547.4/5077/,2026-09-17,primary,false,DER island systems,global,Propietario
IEEE_142,IEEE,IEEE Std 142-2007,IEEE Recommended Practice for Grounding of Industrial and Commercial Power Systems (Green Book),2007,,https://standards.ieee.org/ieee/142/1387/,2026-09-17,primary,false,Industrial grounding green book,global,Propietario
IEEE_C2_2023,IEEE,IEEE NESC C2-2023,National Electrical Safety Code (NESC),2023,,https://standards.ieee.org/ieee/nesc/10287/,2026-09-17,primary,false,Electric supply & communication safety,global,Propietario
NFPA_70_2023,NFPA,NFPA 70-2023,National Electrical Code (NEC),2023,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=70,2026-09-17,primary,false,NEC general requirements,global,Propietario
NFPA_855_2023,NFPA,NFPA 855-2023,Standard for the Installation of Stationary Energy Storage Systems,2023,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=855,2026-09-17,primary,false,Stationary BESS installation,global,Propietario
NFPA_30_2024,NFPA,NFPA 30-2024,Flammable and Combustible Liquids Code,2024,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=30,2026-09-17,primary,false,Flammable liquids storage,global,Propietario
NFPA_58_2024,NFPA,NFPA 58-2024,Liquefied Petroleum Gas Code,2024,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=58,2026-09-17,primary,false,LPG code,global,Propietario
NFPA_853_2023,NFPA,NFPA 853-2023,Standard for the Installation of Stationary Fuel Cell Power Systems,2023,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=853,2026-09-17,primary,false,Stationary fuel cell,global,Propietario
NFPA_497_2024,NFPA,NFPA 497-2024,"Recommended Practice for the Classification of Flammable Liquids, Gases, or Vapors and of Hazardous (Classified) Locations for Electrical Installations in Chemical Process Areas",2024,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=497,2026-09-17,primary,false,Area classification chemicals,global,Propietario
NFPA_780_2023,NFPA,NFPA 780-2023,Standard for the Installation of Lightning Protection Systems,2023,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=780,2026-09-17,primary,false,Lightning protection installation,global,Propietario
NFPA_20_2022,NFPA,NFPA 20-2022,Standard for the Installation of Stationary Pumps for Fire Protection,2022,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=20,2026-09-17,primary,false,Fire pumps,global,Propietario
NFPA_13_2022,NFPA,NFPA 13-2022,Standard for the Installation of Sprinkler Systems,2022,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=13,2026-09-17,primary,false,Sprinkler systems,global,Propietario
NFPA_15_2022,NFPA,NFPA 15-2022,Standard for Water Spray Fixed Systems for Fire Protection,2022,,https://www.nfpa.org/codes-and-standards/all-codes-and-standards/list-of-codes-and-standards/detail?code=15,2026-09-17,primary,false,Water spray fixed systems,global,Propietario
ASME_B31_1_2022,ASME,ASME B31.1-2022,Power Piping,2022,,https://www.asme.org/codes-standards/find-codes-standards/b31-1-power-piping,2026-09-17,primary,false,Power piping,global,Propietario
ASME_B31_3_2022,ASME,ASME B31.3-2022,Process Piping,2022,,https://www.asme.org/codes-standards/find-codes-standards/b31-3-process-piping,2026-09-17,primary,false,Process piping,global,Propietario
ASME_BPVC_VIII_1_2023,ASME,ASME BPVC Section VIII Division 1-2023,Rules for Construction of Pressure Vessels,2023,,https://www.asme.org/codes-standards/find-codes-standards/bpvc-viii-1-rules-construction-pressure-vessels,2026-09-17,primary,false,Pressure vessel construction,global,Propietario
ASME_B107_3000,ASME,ASME B107.3000,"Socket Wrenches, Sockets, and Accessories",2019,,https://www.asme.org/codes-standards/find-codes-standards/b107-3000-socket-wrenches-sockets-accessories,2026-09-17,primary,false,Mechanical tooling,global,Propietario
ASME_PTC_10,ASME,ASME PTC 10,Performance Test Code on Compressors and Exhausters,1997,,https://www.asme.org/codes-standards/find-codes-standards/ptc-10-performance-test-code-compressors-exhausters,2026-09-17,primary,false,Compressor performance test,global,Propietario
API_610_2024,API,API Std 610,"Centrifugal Pumps for Petroleum, Heavy Duty Chemical, and Gas Services",2024,12.0,https://www.api.org/products-and-services/standards/important-standards-announcements/standard-610,2026-09-17,primary,false,Centrifugal pumps,global,Propietario
API_520_1,API,API Std 520 Part I,"Sizing, Selection, and Installation of Pressure-Relieving Devices - Part I: Sizing and Selection",2020,10.0,https://www.api.org/products-and-services/standards/important-standards-announcements/standard-520,2026-09-17,primary,false,PSV sizing,global,Propietario
API_521,API,API Std 521,Pressure-relieving and Depressuring Systems,2022,7.0,https://www.api.org/products-and-services/standards/important-standards-announcements/standard-521,2026-09-17,primary,false,Depressuring systems,global,Propietario
API_1104_2021,API,API Std 1104,Welding of Pipelines and Related Facilities,2021,22.0,https://www.api.org/products-and-services/standards/important-standards-announcements/standard-1104,2026-09-17,primary,false,Pipeline welding,global,Propietario
API_RP_14C,API,API RP 14C,"Recommended Practice for Design, Installation, and Operation of Safety Systems for Offshore Production Platforms",2018,8.0,https://www.api.org/products-and-services/standards/important-standards-announcements/standard-14c,2026-09-17,primary,false,Offshore safety systems,global,Propietario
ASTM_E2848,ASTM,ASTM E2848-13(2020),Standard Test Method for Reporting Photovoltaic Non-Concentrator System Performance,2020,,https://www.astm.org/e2848-13r20.html,2026-09-17,primary,false,PV system performance,global,Propietario
ASTM_E1036,ASTM,ASTM E1036-15(2021),Standard Test Methods for Electrical Performance of Nonconcentrator Terrestrial Photovoltaic Modules and Arrays Using Reference Cells,2021,,https://www.astm.org/e1036-15r21.html,2026-09-17,primary,false,PV module electrical performance,global,Propietario
ASTM_D638,ASTM,ASTM D638-22,Standard Test Method for Tensile Properties of Plastics,2022,,https://www.astm.org/d0638-22.html,2026-09-17,primary,false,Plastic tensile properties,global,Propietario
ASTM_E2236,ASTM,ASTM E2236-23,Standard Test Methods for Measurement of Electrical Performance and Spectral Response of Nonconcentrator Multijunction Photovoltaic Cells and Modules,2023,,https://www.astm.org/e2236-23.html,2026-09-17,primary,false,Multi-junction PV performance,global,Propietario
ASTM_C1549,ASTM,ASTM C1549-16(2023),Standard Test Method for Determination of Solar Reflectance Near Ambient Temperature Using a Portable Solar Reflectometer,2023,,https://www.astm.org/c1549-16r23.html,2026-09-17,primary,false,Solar reflectance,global,Propietario
ASTM_E891,ASTM,ASTM E891-87(2020),Standard Tables for Terrestrial Direct Normal Solar Spectral Irradiance Tables for Air Mass 1.5,2020,,https://www.astm.org/e891-87r20.html,2026-09-17,primary,false,Direct normal solar spectrum,global,Propietario
DNV_OS_J101,DNV,DNV-OS-J101,Design of Offshore Wind Turbine Structures,2024,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Offshore wind structures,global,Propietario
DNV_ST_0519,DNV,DNV-ST-0519,Floating wind turbines,2021,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Floating wind,global,Propietario
DNV_OS_J103,DNV,DNV-OS-J103,Design of Floating Wind Turbine Structures,2013,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Floating wind structures,global,Propietario
DNV_OS_E301,DNV,DNV-OS-E301,Position Mooring,2021,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Position mooring,global,Propietario
DNV_OS_C101,DNV,DNV-OS-C101,"Design of Offshore Steel Structures, General - LRFD Method",2021,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Offshore steel LRFD,global,Propietario
DNV_RP_C205,DNV,DNV-RP-C205,Environmental Conditions and Environmental Loads,2021,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,Metocean environmental loads,global,Propietario
DNV_RP_0585,DNV,DNV-RP-0585,"Safety, operation and performance of grid-connected battery energy storage systems (BESS)",2024,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,BESS safety operation,global,Propietario
DNV_RP_J202,DNV,DNV-RP-J202,Hydrogen quality assurance for fuel cell applications,2024,,https://www.dnv.com/rules-standards/standard-catalogue/,2026-09-17,primary,false,H2 quality fuel cell,global,Propietario
UL_1703,UL,UL 1703,Standard for Flat-Plate Photovoltaic Modules and Panels,2018,2.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=1703,2026-09-17,primary,false,PV module safety flat-plate,global,Propietario; withdrawned in favor of UL 61730
UL_1741,UL,UL 1741,"Inverters, Converters, Controllers and Interconnection System Equipment for Use with Distributed Energy Resources",2021,2.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=1741,2026-09-17,primary,false,Inverters converters controllers,global,Propietario
UL_9540,UL,UL 9540,Standard for Energy Storage Systems and Equipment,2023,2.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=9540,2026-09-17,primary,false,Energy storage systems equipment,global,Propietario
UL_9540A,UL,UL 9540A,Test Method for Evaluating Thermal Runaway Fire Propagation in Batteries,2023,5.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=9540A,2026-09-17,primary,false,Thermal runaway fire propagation,global,Propietario
UL_1973,UL,UL 1973,"Standard for Batteries for Use in Stationary, Vehicle Auxiliary Power and Light Electric Rail (LER) Applications",2022,3.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=1973,2026-09-17,primary,false,Stationary battery standard,global,Propietario
UL_61730,UL,UL 61730,Photovoltaic (PV) Modules Safety Qualification,2017,1.0,https://www.shopulstandards.com/ProductDetail.aspx?productId=61730,2026-09-17,primary,false,PV module safety qualification,global,Propietario
ISO_14685,ISO,ISO 14685,Hydrometry - Geotechnical investigations for hydraulic structures,2017,1.0,https://www.iso.org/standard/55084.html,2026-09-17,primary,false,Geotech hydraulic structures,global,Propietario
ISO_1940_1,ISO,ISO 1940-1,Mechanical vibration - Balance quality requirements for rotors in a constant (rigid) state - Part 1: Specification and verification of balance tolerances,2003,1.0,https://www.iso.org/standard/20886.html,2026-09-17,primary,false,Rotor balance tolerances,global,Propietario
ISO_22790,ISO,ISO 22790,Gas production from biomass -- Quality of biogas,2019,1.0,https://www.iso.org/standard/74206.html,2026-09-17,primary,false,Biogas quality,global,Propietario
ISO_15649,ISO,ISO 15649,Petroleum and natural gas industries - Piping,2024,2.0,https://www.iso.org/standard/66422.html,2026-09-17,primary,false,Petroleum piping,global,Propietario
